description,y
"Cooper Tire offers an entirely unique work experience because no matter what your title is, you’ll play a part in contributing to the development, manufacturing and marketing of some of the most innovative tire products in the world. Cooper is a fun and exciting place to work. We are constantly on the lookout for motivated individuals who lead by example and inspire others to greatness. The opportunities are endless and the rewards rich for those who believe that job satisfaction and career success begin with a satisfied customer. Careers are a Journey…Come Ride with Us!

The IT Data Analyst is charged with effectively managing Cooper Tire & Rubber Company’s master data within its ERP/SAP systems. This position will be focused in the Global Operations space supporting the Manufacturing Plants, Corporate Purchasing and Corporate Quality globally but will have opportunities to cross-train in Customer, Material, and other master data functions.

Job Responsibilities:
Maintain data integrity to ensure that standards are being followed and data is consistently maintained and enhanced where possible to meet business needs.

Facilitate master data workflow processes by working directly with customers to ensure timely completion and process adherence.

Understanding of Technical business and strategy to execute and support the development and utilization of effective and insightful reports and visualizations.

Initiate and participate in projects or actions to improve the overall performance and quality of master data handling, including workflow development, data profiling, and documentation.

Provide on-demand/ad-hoc data manipulation/analysis as requested by Technical business.

Design of Technical Data Strategy based on Global strategy (IT and Global Operations).

Review requests for new or modified master data to ensure they are in line with business rules.

Respond to or appropriately redirect all Technical data requests.

Collaborate with other data analysts within IT and the business to standardize data and set strategy to support all business analytics.

Basic Qualifications:
Bachelor degree in Computer Science, Information Technology, Marketing, or Business related field

2+ years of experience in Data Management, Business Administration, Product development, Marketing/Customer Service

Strong communication skills and the ability to work with all levels of the business, employees, consultants, and contractors

Team oriented with the ability to promote the successful advancement of the group

High quality analytical skills, the ability to pay attention to details

Self-motivated and the capability to work with limited direction

Ability to identify priorities, deadlines, and expectations and execute assignments accordingly

Preferred Qualifications:
Green Belt Certification

Experience working with SAP Master Data & data structures

Experience with Winshuttle Foundation and Studio

Working knowledge of Service Now tools

Cooper Tire is an Equal Employment Opportunity employer. We strive to recruit, develop and retain top candidates by providing an engaging culture and opportunities to grow and develop. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, status as an individual with a disability or any other characteristic protected by applicable law.",0
"Liveperson is an expert based culture, built on the drive and passion of smart people! Our business is growing and we are looking for people like you!

LivePerson is the global leader in conversational commerce solutions and we aim to make life easier by transforming how people communicate with brands. Our 18,000 customers, including leading brands like Citibank, HSBC, Orange, Virgin Atlantic, RBS and Liberty Global, use our conversational commerce solutions to orchestrate humans and AI, at scale, and create a convenient, deeply personal relationship — a conversational relationship — with their millions of consumers.

Over the next three years, our goal is to transform the 268 billion analogue phone calls between a brand and its consumers to digital on the LiveEngage platform. By doing this, we enable consumers to get back time and experience a more connected relationship with the brand in which sales, service, marketing, branches, stores, and contact centre's become a unified experience.

The successful candidate has an opportunity to join a highly outstanding team within a fast-paced and successful organisation.

LivePerson is seeking an exceptional candidate in the areas of Natural Language Processing (NLP) and Understanding (NLU), dialogue management, and semantic parsing. We have one of the world's richest data sets to learn from and a great team of scientists and engineers to learn from.

Opportunity:

Apply cutting-edge methods of NLP/NLU to learn and derive value from one of the world's largest goal-oriented conversational data sets.
Work on challenging unsupervised and semi-supervised problems related to intent and dialog management.

Throughout your experience at LivePerson, you will grow expertise in the following
----------------------------------------------------------------------------------


Proposing and executing research efforts integrated with production systems
Designing and building a modern, flexible NLU pipeline
Developing measurement strategy, control methodology, and experimental design

Minimum Qualifications:
-----------------------


3+ years experience in ML, specifically in NLU/NLP
Masters or PhD in Computational Linguistics, Computer Science, Statistics, or Mathematics.
Knowledge of modern Deep Learning approaches to NLP
Ability to write Python code that is efficient and clean
Experience with scripting languages working in a Linux environment
Ability to work closely with teammates in a highly collaborative environment, as well as providing strong individual contributions
Experience with Python packages for Machine Learning (Scikit-Learn), NLP (SpaCy), and Deep Learning (Pytorch)

Preferred qualifications:
-------------------------


NLP techniques to solve problems such as sentence summarization, question answering, sentiment analysis, knowledge extraction and conversational bots
Experience with multilingual NLP systems a plus
Research experience in NLP research or related fields, e.g. NLU, NLG, ASR/TTS and/or experience with dialogue systems
Modeling to production and monitoring performance once completed
Deep learning models with internal and external NLP datasets
Machine Learning tools, models for Natural Language Processing applications, experimental design, research methodologies, qualitative and quantitative analysis
Analyzing, problem-solving, communicationing, and critical-thinking skills

We care about you.
LivePerson works hard to create a positive employee experience. Your life outside of the office is important to us. We support our teams with competitive benefits and paid time-off that enables our family to take the time they need to recharge.

We want you to feel part of our LivePerson family.
Team events, daily snacks and happy hours on occasion will help you settle quickly into your new workplace.

You can read more about LivePerson and Our Principles here - https://www.liveperson.com/company/#guiding-principals

Our company believes equal opportunities for all genders is something that has been overlooked for too long.
To shake up the industry, LivePerson CEO Robert Locascio recently launched the Equal AI initiative - established to focus efforts on eradicating gender bias in AI engineering. We are also keen on getting women enthusiastic about software engineering by sponsoring ""WomenHack"" and ""Female's Favor{IT}e Conference"" events globally.

LivePerson provides equal employment opportunity without regard to an applicant's race, color, age, national origin, religion, sex, gender identity or expression, sexual orientation, veteran status, disability, pregnancy, genetic information, or any other status protected under applicable law.",2
"background check required
Responsibilities may include the following and other duties may be assigned.
Plans, performs and implements process improvement initiatives (such as Lean or Six Sigma).
Diagrams and evaluates existing processes.
Organizes, leads and facilitates cross-functional project teams.
Develops metrics that provide data for process measurement, identifying indicators for future improvement opportunities.
Collects data to identify the root cause of problems.
Measures performance against process requirements.
Aligns improvement to performance shortfalls.
Provides consultation on the use of reengineering techniques to improve process performance and product quality.
May deliver presentations and training courses including measurement, analysis, improvement, and control.
Surveys and analyzes best practices for techniques and processes.
Communicates team progress.
Performs cost and benefit analyses.

Qualifications:
Bachelor degree in relevant field required
2-4 years of experience
Open to them working remotely up to 85% of the time once fully onboarded and performance is at an acceptable level.
Strong Computer literacy - Strong Excel skills, PowerPoint, Agile, SAPs, Outlook
Data mining experience
Uses statistical methods to analyze data and generate quality dept reports
Build and maintain KPI weekly/monthly/quarterly dashboards for risk management and field corrective actions

Horizontal is proud to be an Equal Opportunity and Affirmative Action Employer. We seek to provide employment opportunities to talented, qualified candidates regardless of race, color, sex/gender including gender identity and/or expression, national origin, religion, sexual orientation, disability, marital status, citizen status, veteran status, or any other protected classification under federal, state or local law.

In addition, Horizontal will provide reasonable accommodations for qualified individuals with disabilities. If you need to request a reasonable accommodation in order to complete the application or interview process, please contact hr@horizontal.com.

All applicants applying must be legally authorized to work in the country of employment.",0
"Overview:
LMI is a government consulting firm, dedicated to advancing the management of government. We operate free of political and commercial bias, and we gauge our success by the mission outcomes we enable our government clients to achieve. Our clients value our objectivity, deep government IQ, and expertise in logistics, analytics, information technology, and management consulting. We seek talented, hardworking people who share our passion for public service and want to join us in solving the most pressing challenges in government management.
LMI is currently seeking an innovative, experienced, and highly-skilled Data Scientist to join our growing Advanced Analytics team. In this role, you will create and develop custom solutions for our users in a collaborative, fast-paced, state-of-the art environment. To be successful in this role, you will be thorough, creative, and exceptionally well-skilled in all phases of the development lifecycle, with a passion for continued learning and collaboration.

*This position is located at Fort Meade, Maryland and requires an active TS w/SCI Eligibility clearance*
Also looking for candidates in these locations: Charlottesville, Fort Bragg (NC), Fort Gordon (GA), Ft. Meade, Hawaii, San Antonio, Germany, Italy, South Korea
Responsibilities:
5+ years applying statistics, machine learning and analytic approaches to answer key intelligence questions, producing results and re-usable products that provide real value to Intelligence Analysts. Contractor shall develop and refine date sets to achieve stakeholder goals and objectives as requested.
Work with analysts to interpret analytic results and refine analysis as needed.
Apply machine learning techniques to identify and transform data features, find hidden patterns and trends, build and optimize classifiers, create automated anomaly detection systems, and automate steps of the intelligence process.
Evaluate statistical models to determine the validity of analyses, implement evaluated models into production by collaborating with software developers, periodically re-evaluate and refine machine learning models being used in production.
Coordinate with Data Analysts to refine and implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Communicate results and ideas to key decision makers, analysts and other stakeholders. Contractor shall advise on the interpretation and use of data intelligence products, quality assessments and applications.
Collaborate with Intelligence Analysts to understand needs and devise possible solutions.
The Contractor shall:
Conduct technical reviews and develop appropriate materials to training system users and Instructors in preparation of operational deployments.
Assess training requirements based on current system and functional baseline. Develop training artifacts in support of operations including Standard Operating Procedures (SOPs), and Tactics, Techniques and Procedures (TTPs).
Languages, Tools, and Techniques
Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data sets.
Demonstrated proficiency in a variety of supervised and unsupervised machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Demonstrated proficiency in advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Demonstrated proficiency with common data science libraries.
Demonstrated proficiency visualizing/presenting data for stakeholders.
Demonstrated proficiency with MS Office tools
including Excel, PowerPoint, and Word.
Demonstrated proficiency with AWS, in particular products related to: analytics, compute, database, developer tools, and machine learning.
Skilled data wrangler.
Experience with database solutions including SQL, NoSQL (e.g. MongoDB) and graph (e.g. Neo4j).
Experience with data visualization tools, such as D3.js, ggplot, Bokeh, etc.
Capability to recognize when Data Science can add value to an intelligence problem, and when it cannot.
Ability to translate an intelligence problem into a Data Science problem, and to work with the Intelligence Analysts and ACE Chief to refine understanding of the problem.
Qualifications:
Active TS/SCI clearance
MS in Data Science, Statistics, Applied Math, or related field.
2 years leading data science projects is desired and 5 years intelligence analysis experience is desired.
Experience working with platforms such as Scala, Python, Java, R
5+ years of related experience required
Advanced data science experience required
Significant experience with databases
Experience and familiarity with Agile-Scrum software development
Experience gathering and decomposing requirements
Proven record of solution development and deployment
Familiarity with web-based application development
Experience with testing, use case, and user stories
Outstanding communication skills, written and verbal
Highly organized and able to manage multiple projects simultaneously
Team-player mentality with a positive attitude
Keen attention to detail and solid analytical skills
Able to articulate complex, abstract concepts concisely and effectively",1
"Summary
Posted: Feb 27, 2020
Weekly Hours: 40
Role Number:200100417
Are you ready to apply your educational experience to real-world problems? Are you passionate about applying your data skills in a real-world tech environment?
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Join Apple, and help us leave the world better than we found it. Apple’s Strategic Data Services (SDS) team is responsible for mitigating fraud, waste and abuse company-wide while optimizing and empowering our customers and internal partners.
SDS Data Science Engineering is building an environment to enable ground breaking data analysis over Petabytes of data. We work side-by-side with data scientists and implement scalable, easy-to-use systems and tools. We are seeking a customer-focused, passionate and driven Data Science Engineer with experience in building analytic tools and solutions.
This position is based in Austin, TX.
Key Qualifications
Mastery of one of Python, Java, Scala, C++ or equivalent language
Experience with Relational databases and NoSQL databases
Demonstrated understanding of the full software development lifecycle
Excellent problem solving, critical thinking, and communication skills
Solid grasp of computer science fundamentals including data structures and algorithms
Solid ability to evaluate and apply new technologies in a short time
Self-motivated, proactive, and solution-oriented
Description
With the expansive data we have, our job is to build meaningful data relationships and engagement experiences for our internal customers. If you’re interested in being a part of a team that’s constantly learning and problem-solving, we’d love to talk with you. As a Data Science Engineer on the SDS team, you will work closely with Data Scientists and other Data Science Engineers to lead the design and implementation of systems and tools to support the fraud prevention efforts of SDS.
You will be:
• Developing and implementing production software for preventing fraud
• Responsible for system architecture design
• Working with external infrastructure teams to drive the development of infrastructure needs
• Innovating by recognizing opportunities for automation and tools improvements
• Responsible for developing and implementing process improvements to bring efficiency and stability to fraud analytics
• Responsible for technical leadership for a team of data scientists
• Lead the team to increase the level of maturity and skill in analytical software development
• Responsible for release engineering
Education & Experience
• Ph.D. in Computer Science, Machine Learning, Statistics, Operations Research or related field; or
Ph.D. in Math, Engineering, Economics, or hard science with data science fellowship; or
• M.S. in related field with 3+ years experience applying data science to real business problems
Additional Requirements
Python
Java
Scala
Computer Science
SDLC
Algorithms",1
"The Senior Data Analyst is the technical resource for the medical center’s Clinically Integrated Network (CIN), a collection of health care providers, such as physicians, hospitals and other health care professionals, responsible for providing expert domain knowledge, including workflow, solution design, and process, to drive positive end user experience, utilization of applications and achieve defined benefits. The associate in this role supports implementation and operational activities of the platform, involving platform access, user set up and data validation.

You will assist consultants with data analysis to identify and quantify realized value and opportunities for clients. You will consult on data and modelling impacts, guiding clients through interdependencies and analysis decision impacts as well as transform data as appropriate for specific team functions or processes. You will be responsible for obtaining and analyzing relevant data and synthesizing both quantitative and qualitative results. Various programming languages, statistical software, visualization tools, and client environments will be used. This requires the ability to learn independently and apply new skills quickly.
Back to Description
Cerner Jobs and Careers

Client Services
Working directly with our clients is one of the most impactful careers you will find. Whether your background is in health care, business or technology you can help transform the quality of care for all of us.
Qualifications
Basic Qualifications:
Bachelor’s degree in Statistics, Finance, Economics, Computer Science, Health Care or related field, or equivalent relevant work experience
At least 3 years of operational, clinical, financial or health care metrics work experience
At least 3 years of software implementation work experience
Preferred Qualifications:
At least 1 year of Health Care Information Technology (HCIT) project management, sales or consulting work experience
Strong experience with SAP Business Objects and/or Tableau
Additional Information

Applicants for U.S. based positions with Cerner Corporation must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.

Some Cerner positions may be obligated to comply with client-facing requirements and occupational health requests, including but not limited to, an immunization set, an annual flu shot, an annual TB screen, an updated background check, and/or an updated drug screen.
Relocation Assistance Available for this Job:
No
Virtual Eligible Job
No
Cerner is a place where people are encouraged to innovate with confidence and focus on what is important – people’s health and the care they receive. We are transforming health care by developing tools and technologies that make it more efficient for care providers and patients to navigate the complexity of our health. From single offices to entire countries, Cerner solutions are licensed at more than 25,000 facilities in over 35 countries.

Cerner’s policy is to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. Cerner is proud to be a drug-free workplace.",0
"Who we are
Albert is a new type of financial service that uses powerful technology to automate your finances, with a team of human experts to guide you. Albert saves and invests automatically for you, helps you avoid overdrafts, finds savings you’re missing, identifies bills you’re overpaying, and much more. Text Albert a financial question, and we’ll not only offer guidance; we’ll help you make it happen.

We’re an LA-based startup with a proven business model, backed by top-tier institutional investors, with over 2 million users who have trusted Albert to help them achieve their financial goals. We’re on a mission to improve the financial lives of millions of people with a beautifully-designed, simple product, and we’re looking for thoughtful, talented people to join us on our journey.

About the role
Managing, transforming, and accessing data efficiently is critical to every business process at Albert, from backend and mobile development to growth and business analytics. We are looking for a talented engineer to own our data analytics pipelines and systems as well as help us evolve our data architecture to support our growth as we scale.
Things you're good at
Shipping: Delivering great products that you're proud of on a regular basis.
Architecture: Getting it done is important. Getting it done in way that will scale is equally important.
Diving in: Taking ownership of the data stack.
Collaboration: We bring the best out of each other. We're looking for people who will bring the best out of all of us.
Responsibilities
Take over existing data pipelines, ETL and task running processes, starting with our ETL processes for BI analytics
Partner closely with VP of Analytics to make data accessible to the entire company so we can make timely decisions backed by data
Monitor our analytics data pipelines to ensure data quality and timeliness
Continuously improve our BI tooling, platforms and monitoring to help the team create dynamic tools and reporting
Drive optimization, testing, and tooling to improve data quality
Write clean, maintainable and well-documented code to support our data processes. Help improve and evolve out data architecture over time by planning, developing, and deploying infrastructure using state of the art tools and practices appropriate for our needs
Concisely and effectively communicate the benefits and implications of adding new data technologies and techniques to our infrastructure
Requirements
4+ years of experience in a Data Engineering role, with a focus on building data pipelines
BI tooling and/or data app development
4 year bachelor degree in Computer Science or other technical or science degree
Proficiency in Python
Experience with some or all of the following: Postgres, Redshift, Celery, Elasticsearch, Kafka, and Airflow.

Benefits
Competitive salary and meaningful equity
401k Match
Health, vision and dental insurance
Free lunch",3
"Two Six Labs is seeking an experienced and motivated Principal Machine Learning Engineer to
work within a cross-functional development team focused on advancing the state-of-the-art Cyber
mission command system enhanced by artificial intelligence and machine learning. You will work
as part of a fast-paced cross-functional team focused on developing and integrating machine
learning capabilities to augment cyber operations.
Responsibilities
Design and develop analytic capabilities applied to cyber datasetsDesign, implement, and integrate novel machine learning modelsImplement, tune, and integrate pretrained models, and leverage transfer learning where
applicable
Build and optimize the use of deployed models within the context of the software
application
Manage real and/or create synthetic data sets where necessary for training and testing
purposes
Work across various engineering teams to integrate and leverage machine learning
capabilities
Qualifications
U.S. CitizenshipBachelor’s degree in Computer Science, Engineering, or a related field5+ years of relevant work experience in software development focused on machine
learning and advanced data analytics
Experience with production level machine learning model deployment and managementExperience using machine learning, analytic, and computation frameworks and libraries
(numpy, scipy, scikitlearn, tensorflow, pytorch, etc.)
Strong coding skills, especially PythonDeep learning model development experience
Desired skills and experience:
An active DoD clearance (Secret or above)Prior work deploying to cloud computing environments (e.g., AWS), big data
architectures (Spark, Hive, Hadoop)
Exposure to Agile environments and processesA self-driven work ethic and a willingness to jump in and solve hard problemsPrior work in network traffic analysis, intrusion detection, user behavior, etc.Tensorflow/keras experienceEmbedding development or embedding/latent space exploration workCustom deep learning network design, implementation and testing",2
"7900 Westpark Drive (12131), United States of America, McLean, Virginia
At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.
Data Engineer
Investing in the right information security capabilities is essential to what we do for Capital One in protecting our customers and our employees. The CyberML team collects and analyzes vast quantities of data to help detect malware, prevent fraud, and protect customers.
As a lead Data Engineer in CyberML, you will contribute to building data-driven and machine learning solutions to tackle some of the most interesting use cases in the Cybersecurity industry. You will engage with security analysts to understand their problems and challenges, you will work with Cyber’s senior leadership to shape the vision of cyber engineering and innovation, and you will lead the development team to deliver robust and cutting-edge products.
Who You Are:
You are interested in working on challenging problems involving scalability and performance
You can effectively collaborate with other teams to work on high-profile initiatives
You enjoy learning new technologies and picking up new skills
What The Role Is:
Collaborating as part of a cross-functional Agile team to create and enhance software that enables state of the art, next generation Big Data and Fast Data applications
Building efficient and scalable storage for structured and unstructured data
Developing and deploying distributed computing Big Data applications using Open Source frameworks like Apache Spark, Apex, Flink, Nifi, Storm, and Kafka on AWS Cloud
Building and running large-scale NoSQL databases like Elasticsearch and Cassandra
Utilizing programming languages like Java, Scala, and Python
Designing and building applications for the cloud (AWS, Azure, GCP, DO)
Leveraging DevOps techniques and practices like Continuous Integration, Continuous Deployment, Test Automation, Build Automation, and Test Driven Development to enable the rapid delivery of working code utilizing tools like Jenkins, Maven, Nexus, Chef, Terraform, Ruby, Git, and Docker
Performing unit tests and conducting reviews with other team members to make sure your code is rigorously designed, elegantly coded, and effectively tuned for performance
Basic Qualifications:
Bachelor’s Degree
At least 3 years of professional programming experience in Java, or Scala, or Python, or C++, or Golang
At least 3 years of professional experience working on data streaming or data warehousing applications
At least 2 years of experience working with Linux-based Operating Systems
At least 2 years of experience working with scripting languages
At least 2 years of experience working within cloud environments
Preferred Qualifications:
Bachelor’s Degree in Computer Science or related technical discipline
Experience with Linux Administration (e.g., Red Hat, CentOS, AWS Linux)
Experience working with Elasticsearch and Lucene-based search
Experience working with Snowflake data warehouse
Experience working with container runtimes (e.g., Docker, rkt, cri-o)
Experience working with container frameworks (e.g., Kubernetes, Mesosphere)
Experience with streaming analytics, complex event processing, and probabilistic data structures
Experience with columnar data stores and MPP
AWS Solution Architect Associate or Professional
At this time, Capital One will not sponsor a new applicant for employment authorization for this position.",3
"Facebook is looking for a Data Analyst for Commerce Partnerships on the Partnerships Operations and Insights team. The POI team is chartered with identifying and driving strategic and operational improvements to help partnerships leaders better run their businesses through planning, operations, and analysis. This position offers a candidate with prior commerce, data analysis and quantitative modeling experience an exciting and high-profile opportunity to work across partners, programs and products to influence the trajectory of developing Facebook's businesses in a key analytical role. The ideal candidate has experience with building data pipelines and dashboards, presenting to leadership and will be comfortable working through ambiguity by using data. This is a full-time position and is located in our Menlo Park or San Francisco locations.
DATA ANALYST, COMMERCE PARTNERSHIPS RESPONSIBILITIES
Enable the Commerce team to grow the business and make data-driven decisions by creating data tools that track key indicators and unlock insights for performance
Developing dashboards and pipelines to allow for quick and accurate data access and reporting across different lines of business to reduce data bottlenecks across the org
Define revenue and engagement indicators and help run causal inferences for key partners and the overall non-profit ecosystem to help generate optimization ideas and unlock insights
Build partnerships within Commerce Partnerships and cross-functional stakeholders, including Product, Operations, Engineering, among others, to drive analysis and insights on business drivers
Provide analytical support across key planning processes for Commerce Partnerships including tiering, goaling, forecasting and resource planning
Provide first rate analytical, KPIs visibility, marketing effectiveness and business trends/drivers support via SQL, reporting and data visualization tools
MINIMUM QUALIFICATIONS
BA or BS degree
5+ years of experience working in an analytical capacity developing insights, defining metrics, and making recommendations
Advanced SQL experience (Oracle, Vertica, Hive, etc.) or relational database experience (Oracle, MySQL) including developing data pipelines and reporting automation
Experience building data visualization tools and pipelines on large datasets and multiple data sources to create compelling, actionable reporting and insights
Experience in financial modeling, ROI analysis, forecasting, data analysis, and experience seeing beyond numbers to drive sound decision-making from complex datasets
Proven stakeholder management experience – including managing multiple cross-functional partners simultaneously
Presentation and communications experience with extracting insights from technical data sets to varied audiences including communicating with senior management
PREFERRED QUALIFICATIONS
3+ years of experience with packages such as Python, R, SAS, etc
3+ years of experience managing a team of data analysts
Knowledge of the Facebook, the eCommerce space and relevant metrics
Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.",0
