description,y
"Data Scientist, Product Analytics - Growth Responsibilities
Surfacing and understanding cross-app effects and external/emergent trends in depth
Providing insights on topics that are important but fall between team responsibilities
Setting up and communicating best practices and data foundations for analysis
Driving product strategy: This is an opportunity to work with every part of Facebook Inc, from the newest, shiniest products like Reels and Rooms, to the most important topics like supporting small businesses, COVID and election integrity. You can bring the data to drive our next big product, innovation or service to our community
Enhancing high complex models: Notifications and Friending suggestions have been around for a long time, but as the user base evolves and we enter new markets, we need to adapt to ensure every user globally has the best experience possible
Bringing your passion and vision: We want you to come and do the best work of your career. That means driving progress on the topics you believe in, with the data to prove your hypotheses, so this space intentionally left blank
Minimum Qualifications
Bachelors/Masters Degree with 4+ years (or PhD with 2+ years) of experience working within an analytical role
Experience with a quantitative analytical role in a technology company, consulting, investment banking, or product management
Experience with statistics, experimentation and modelling to get meaningful signals from noisy data (e.g., Python, Scikit-Learn, TensorFlow, SAS, R, MATLAB)
Experience extracting and manipulating large datasets with SQL, Presto, Spark, etc.
Experience influencing product strategy through data-centric presentations to product, business, and other stakeholders
Experience influencing cross functional partners and work across teams
Preferred Qualifications
7+ years of experience working in an analytics organization",0
"Growth Analyst, Scaled Growth Responsibilities
Enable acquisition, activation, and retention through effective use of data
Enable the team to plan, execute, report on and monitor the success of outreach campaigns
Work closely with optimization teams to identify publisher cohorts & performance optimization initiatives
Develop data infrastructure (ETLs, data models, and reports) and other tools to make analytics easier and more effective
Take advantage of massive amounts of structured data to understand how to improve our business success and our teams’ efficiency
Produce ad hoc analyses to aid the team in understanding customer behavior, develop POV’s and drive decision-making
Be a thought leader and go-to-expert on data resources and tools
Manage integration of disparate, user-level data sets into a unified view of the consumer for the development of segmentation models
Identify growth opportunities by uncovering new segments and channels via applied data analysis
Design and report on incrementally testing, including channel impact of email marketing or digital advertising
Lead development of marketing attribution model across integrated channels to optimize ROI
Minimum Qualifications
5+ years of experience in business strategy, finance, or analytics
Experience with SQL (Oracle, Vertica, Hive, MySQL, etc.)
Experience with statistical analysis and stat packages such as R, Stata, etc.
Experience with data visualization tools such as Tableau
Experience with Python
Preferred Qualifications
Experience with the mobile app publisher landscape and/or online marketing & advertising
Experience with digital advertising tracking, measurement, and metrics",0
"The Facebook platform offers marketers unprecedented opportunities to reach and engage consumers. The Advertising Product Measurement team is responsible for understanding how to measure and increase the impact of Facebook Ad Products. In service of this goal, the team conducts research on the Facebook advertising platform, designs methodologies and consults with Facebook product teams to guide product development and strategy.

We seek an expert in research methods and inferential statistics to help direct this research. This research is instrumental in informing Facebook’s advertising product strategy. The ideal candidate will have a strong background in data science, research methods and statistics.
Quantitative Researcher, Marketing Science Research Responsibilities
Create a product measurement learning agenda in partnership with ads product team
Analyze internal user data and/or leverage external surveys for product ideation
Design optimal field or lab experiments for product evaluation and vet client campaigns recruited for the experiment
Execute or oversee the execution of experiments and analyze experiment results
Present research results and make recommendations to the product team
Liaise with product marketing managers to integrate results in to sales and marketing materials
Socialize/evangelize research findings generated by Ads and Consumer Research teams within the product organization
Minimum Qualifications
3+ years in a quantitative field, such as consulting, market research, product development or user experience research
BS/BA Degree in Economics, Statistics, Computer Science, Applied Mathematics, Operations Research, Engineering, or similar quantitative field
Experience with applied statistics including sampling approaches, experiments, causal modeling, and data mining techniques
Experience with relational databases and SQL-like query languages
Experience with analysis tools such as R, Pandas, MATLAB, SAS or Stata
Experience with presenting and partnering with technical and non-technical teams
Preferred Qualifications
Experience with survey methodology or lab-based research
Experience in the advertising industry or consumer behavior
Knowledge of ads product development
Experience in DR measurement specifically in industries such as E-Commerce or Financial Tech or Entertainment Tech or Travel, etc.
Experience working with or in support of diverse communities",0
"Our Statistics & Privacy team focuses on establishing step-change improvements to advance our long-term business growth. The team's expertise spans many domains including statistics, machine learning, economics, and cryptography. We develop methodologies, design and prototype solutions, and partner with our engineering colleagues to launch these solutions such that 3 billion people and 200 million businesses on our platform can benefit. Examples include internal and external experimentation platforms, ads delivery optimization for efficient causal outcomes, and the application of privacy-enhancing technologies across our ads product stack.

Facebook seeks an industry-experienced Research Science leader to join Statistics & Privacy.  This managerial role is designed specifically for a Research Science leader to remain hands-on for technical and scientific development, while also directly supporting a small team of research scientists, and leading on a small set of org-level capacity-building responsibilities. Cutting-edge applied research necessitates identification and evaluation of new research opportunities, and development of scientifically rigorous systems. Research scientists drive forward prototypes and methodologies, and build consensus with engineering stakeholders as to the scientific and strategic merit of our initiatives. This role will focus on ranking, delivery, and experimentation systems that power our advertising and commerce capabilities.
Research Scientist TLM — Statistical Learning and Experimentation Responsibilities
Hire and lead highly skilled research scientists, providing mentorship and career guidance to members of the team
Identify specific, high-impact opportunities to build new and improve existing advertising and commerce solutions based on deep learning (retrieval, ranking, recommender systems), experimentation and inference systems
Design and prototype new algorithms, optimization methods, and system architectures with hands-on implementation and development
Shepherd the team’s research and development projects, ensuring high-quality communication across diverse leadership audiences, and taking responsibility for the team’s long-term product impact
Build cross-functional relationships to shape long-term roadmaps with a balance of scientific rigor and strategic considerations
Learn new tools, systems and languages quickly as required by the particular project you are working on
Manage the development of presentations, patent applications, white papers and publications of research results in top-tier journals and at leading conferences, in a manner that is broadly appealing and accessible beyond a core scientific audience
Lead author of publications at top-tier peer-reviewed journals or conferences (e.g. NeurIPS, ICML, JSM, KDD)
Minimum Qualifications
PhD in a quantitative field such as statistics, computer science, physics, or computational social science and 4+ years of relevant experience, or MS/MA degree with 8+ years of relevant experience
Expertise in statistics (particularly causal inference and Bayesian inference) or deep learning (particularly ranking, retrieval and recommender systems), including addressing challenges from incomplete, unrepresentative, and mislabeled data
Proficiency designing and implementing analytical and/or algorithmic solutions, tailored to particular business needs and tested on large data sets
Proficiency in Python, Julia, or R, including leveraging large (TB) datasets
Proficiency in communicating analyses and establishing confidence among audiences who do not share your disciplinary background or training
Track record of product or systems innovation, and strategic focus
Preferred Qualifications
4+ years of experience in leading and developing highly technical and/or applied research teams, including performance management and recruiting",0
"The Infrastructure Quantitative Engineering group is responsible for the strategic analysis to support and enable the continued growth critical to Facebook’s infrastructure organization. We are applied quantitative and computational experts using math, statistics and machine learning to measure & optimize cost, performance, reliability and efficiency of Facebook’s infrastructure & global telecom systems to deliver the best experience to our global audience. The ideal candidate will be passionate about Facebook, have strong analytical and modeling aptitude and has experience using data to drive cost effective decision making.
Research Data Scientist Responsibilities
Build pragmatic, scalable, and statistically rigorous solutions to large-scale web, mobile and data infrastructure problems by leveraging or developing state-of-the-art statistical and machine learning methodologies on top of Facebook's unparalleled data infrastructure
Work cross-functionally to define problem statements, collect data, build analytical models and make recommendations
Build and maintain data driven optimization models, experiments, forecasting algorithms, and machine learning models
Leverage tools like Python, R, Hadoop & SQL to drive efficient analytics
Communicate final recommendations and drive decision making
Minimum Qualifications
Degree in quantitative field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related field)
2+ years of industry or graduate research experience solving analytical problems and building models using quantitative, statistical or machine learning approaches
Experience with Machine Learning, Statistics, or other data analysis tools and techniques
Experience performing data extraction, cleaning, analysis and presentation for medium to large datasets
Experience with at least one programming language (i.e. Python, R, Java, or C++)
Experience writing SQL queries
Experience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, Scikit-learn, dplyr, or ggplot2
Experience with statistics methods such as forecasting, time series, hypothesis testing, classification, clustering or regression analysis
Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2
Experience with machine learning libraries and packages such as PyTorch, Caffe2, TensorFlow, Keras or Theano
Preferred Qualifications
Advanced degree (Master’s or PhD or Equivalent experience) in quantitative field
Experience working with distributed computing tools (Hadoop, Hive, Spark, etc.)
Proficiency in algorithmic complexity", 1
"The Small Business Group (SBG) contributes directly to Facebook’s mission by connecting small businesses with their customers and helping them grow through solutions like pages, advertising, and offers. We succeed when we help our customers grow their business.

The SBG team is searching for a Data Scientist. The Data Scientist will use data analysis to understand customer profiles, produce reports to track our business, build models to provide insight into the Small Business customer base, identify opportunities, and impact the strategy of our Product, Marketing, and Sales teams. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.
Data Scientist, Small Business Group Responsibilities
Take advantage of massive amounts of structured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses on the Facebook family of apps using data science
Lead the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques
Design and execute experiments (e.g., A/B testing, multi-armed bandit)
Communicate insights and recommendations to business leads and influence strategic decision-making
Frequently switch between on-the-ground tactical execution and 30k foot strategy
Minimum Qualifications
BA/BS in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research, or equivalent training
2+ years of experience in a data science capacity in a business strategy, marketing, finance, engineering, or analytics organization
Experience with data querying and manipulation using SQL, Python, or R
Experience with experimental design
Experience with data analysis and statistical modeling using the R or Python ecosystems, with packages such as pandas, Statsmodels, Scikit-learn, Tidyverse (dplyr, ggplot2, etc.)
Communication and presentation skills
Preferred Qualifications
An MBA or Master’s or Doctorate degree in a quantitative discipline like Math, Statistics, Economics, Computer Science, Physics, Engineering, Operations Research
Self-starter, comfortable with ambiguity, experience initiating and driving projects with minimal oversight and guidance
Proven track record of leveraging data to deliver business value and present data-driven insights to business audiences
Experience building cross functional relationships across a variety of functions to launch projects to drive business value
Experience communicating with and influencing technical and non-technical audiences (engineers, data scientists, program managers, marketers)
Experience developing data pipelines via SQL and Python-based ETL framework
Experience shipping code into production
Experience writing testable code
Comfortable using version control tools such as git or mercurial
Experience with Small Business landscape and/or online marketing and advertising
Experience working with or in support of diverse communities",1
"Our Statistics & Privacy team focuses on establishing step-change improvements to advance our long-term business growth. The team's expertise spans many domains including statistics, machine learning, economics, and cryptography. We develop methodologies, design and prototype solutions, and partner with our engineering colleagues to launch these solutions such that 3 billion people and 200 million businesses on our platform can benefit. Examples include internal and external experimentation platforms, ads delivery optimization for efficient causal outcomes, and the application of privacy enhancing technologies across our ads product stack.


Facebook seeks industry-experienced Research Scientists to join Statistics & Privacy and serve as scientific leaders for cutting-edge applied research. Such work necessitates identification and evaluation of new research opportunities, and development of scientifically rigorous systems. Research scientists drive forward prototypes and methodologies, and build consensus with engineering stakeholders as to the scientific and strategic merit of our initiatives. This role will focus on ranking, delivery, and experimentation systems that power our advertising and commerce capabilities. This work is critical to our long-term product development, and we expect research scientists to provide both scientific expertise and creative solutions to accelerate their project area.
Research Scientist - Statistical Learning and Experimentation Responsibilities
Identify specific, high-impact opportunities to build new and improve existing advertising and commerce solutions
Design and prototype new algorithms, optimization methods, and system architectures with a focus on deep learning (retrieval, ranking, recommender systems), experimentation and inference systems
Build cross-functional relationships to shape long-term roadmaps with a balance of scientific rigor and strategic considerations
Learn new tools, systems and languages quickly as required by the particular project you are working on
Develop patent applications, white papers, conference presentations, and publications that are broadly appealing and accessible beyond a core scientific audience
Minimum Qualifications
PhD in a quantitative field such as statistics, computer science, physics, or computational social science, or MS/MA degree with 4+ additional years of relevant experience
First-author publications at peer-reviewed conferences (e.g. NeurIPS, ICML, JSM, KDD) or disciplinary journals
Expertise in statistics (particularly causal inference and Bayesian inference) or deep learning (particularly ranking, retrieval and recommender systems), including addressing challenges from incomplete, unrepresentative, and mislabeled data
Proficiency designing and implementing analytical and/or algorithmic solutions, tailored to particular business needs and tested on large data sets
Expertise in Python, Julia, or R
Proficiency in communicating analyses and establishing confidence among audiences who do not share your disciplinary background or training
Track record of product or systems innovation, and strategic focus", 1
"Data Scientist, Product Analytics - Growth Responsibilities
Surfacing and understanding cross-app effects and external/emergent trends in depth
Providing insights on topics that are important but fall between team responsibilities
Setting up and communicating best practices and data foundations for analysis
Driving product strategy: This is an opportunity to work with every part of Facebook Inc, from the newest, shiniest products like Reels and Rooms, to the most important topics like supporting small businesses, COVID and election integrity. You can bring the data to drive our next big product, innovation or service to our community
Enhancing high complex models: Notifications and Friending suggestions have been around for a long time, but as the user base evolves and we enter new markets, we need to adapt to ensure every user globally has the best experience possible
Bringing your passion and vision: We want you to come and do the best work of your career. That means driving progress on the topics you believe in, with the data to prove your hypotheses, so this space intentionally left blank
Minimum Qualifications
Bachelors/Masters Degree with 4+ years (or PhD with 2+ years) of experience working within an analytical role
Experience with a quantitative analytical role in a technology company, consulting, investment banking, or product management
Experience with statistics, experimentation and modelling to get meaningful signals from noisy data (e.g., Python, Scikit-Learn, TensorFlow, SAS, R, MATLAB)
Experience extracting and manipulating large datasets with SQL, Presto, Spark, etc.
Experience influencing product strategy through data-centric presentations to product, business, and other stakeholders
Experience influencing cross functional partners and work across teams
Preferred Qualifications
7+ years of experience working in an analytics organization",0
"Data Engineer Responsibilities
Manage data warehouse plans for a product or a group of products.
Collaborate with engineers, product managers and data scientists to understand data needs.
Build data expertise and own data quality for allocated areas of ownership.
Design, build and launch new data models in production.
Design, build and launch new data extraction, transformation and loading processes in production.
Measuring our impact along various dimensions by building logging, core datasets and dashboards
owning quality performance metrics.
Support existing processes running in production.
Define and manage SLA for all data sets in allocated areas of ownership.
Work with data infrastructure to triage infra issues and drive to resolution.
Improve frameworks, and systems to facilitate easier development of data artifacts.
Influence product and cross-functional teams to identify data opportunities to drive impact.
Mentor team members by giving/receiving actionable feedback.
Minimum Qualifications
4+ years experience in the data warehouse space.
4+ years experience in custom ETL design, implementation and maintenance.
4+ years experience with object-oriented programming languages.
4+ years experience with schema design and dimensional data modeling.
4+ years experience in writing SQL statements.
Experience analyzing data to identify gaps and inconsistencies.
Experience managing and communicating data warehouse plans to internal clients.
Preferred Qualifications
BS/BA in Technical Field, Computer Science or Mathematics.
Experience influencing product decisions with data.
Knowledge and practical application of Python.
Experience working autonomously in global teams.
Experience influencing product decisions with data.
Experience with data architecture design and data pipeline optimization.", 3
"Facebook is seeking a highly quantitative, driven, and creative Data Scientist for the Finance Data Science team. The team and role provides a uniquely broad bird's eye view of Facebook's business, with a focus at the intersection of technical data science and strategic business domains. This role is focused on forecasting and analyzing revenue and pricing for the advertising business while partnering across Finance and Product. It plays a crucial role in enabling Facebook's leadership to have a data-driven understanding of key revenue trends in order to be equipped for strategic decision making. Our work also sets up and utilizes a metric-driven framework to align teams across the company to work collectively towards achieving our revenue goals. 
 


The role will challenge the candidate to both understand and contribute to many facets of a rapidly growing business, including supply and demand dynamics, ad delivery system nuances, and industry-wide trends. Responsibilities will revolve around driving revenue forecasting, developing actionable insights for the business, conducting deep-dive analyses to quantify key revenue drivers, and influencing decision makers to enable revenue growth. This team partners closely with colleagues across Product, Engineering, Data Science and Finance to collectively analyze and drive revenue growth. Successful candidates will have exceptional analytical skills, technical fluency, bias toward action, exceptional partnering and communication skills, and the know-how to balance getting the details right while still moving fast.
Data Scientist, Finance Responsibilities
Analyze large datasets, interpret revenue and/or ad pricing trends, and identify actionable insights and opportunities.
Build, evaluate, monitor and refine revenue and/or ad pricing forecast models, with a focus on accuracy and explainability. Improve the team’s rigor in understanding and explaining deviations relative to the forecast.
Provide deep analytic support and business context to identify and drive critical growth initiatives.
Perform deep-dive analyses of revenue or ad pricing drivers, including supply and demand effects, ad delivery system dynamics, and industry-level drivers.
Influence the direction of the business by effectively communicating results to the rest of the team and company leaders.
Present on business implications of analyses and forecasts in reviews with leaders across Facebook.
Partner with Data Engineering to build, design and maintain core data infrastructure, pipelines and data workflows to automate dashboards and analyses, in order to increase efficiency of team’s work flows.
Minimum Qualifications
Bachelor’s Degree in a quantitative field (Economics, Math, Statistics, Engineering, Computer Science or similar discipline)
2+ years of experience in data science, analytics, or finance, conducting quantitative analysis
Work experience using SQL and R/Python to query, manipulate and analyze data sets
Academic or work experience with statistics (e.g. regressions, time series)
Experience with synthesizing and communicating narratives based on data-driven analyses
Experience with automating analyses and authoring pipelines via SQL and/or Python based ETL frameworks, as well as collaborating with Data Engineering on data infrastructure development
Experience shifting priorities while maintaining organization
Experience with communicating and collaborating with cross-team stakeholders
Preferred Qualifications
Advanced Degree in a quantitative field (Economics, Math, Statistics, Engineering, Computer Science or similar discipline)
4+ years’ experience doing quantitative analysis
Experience in a fast-paced, large-scale company or experience with the digital ads business
Experience with building, evaluating and refining time series forecast models
Development experience in a scripting language (PHP, Python, Perl, etc.)",1
