description,y
"Founded in 2008, Airbnb's mission is to create a world where people can belong through healthy travel that is local, authentic, diverse, inclusive and sustainable. Airbnb uniquely leverages technology to economically empower millions of people around the world to unlock and monetize their spaces, passions and talents to become hospitality entrepreneurs. Airbnb's accommodation marketplace provides access to 5+ million unique places to stay in more than 81,000 cities and 191 countries. With Experiences, Airbnb offers unprecedented access to local communities and interests through 15,000 unique, handcrafted activities run by hosts across 1,000+ cities around the world. Airbnb's people-to-people platform benefits all its stakeholders, including hosts, guests, employees and the communities in which it operates.

This role is dedicated to fulfilling the data governance and reporting needs of Payments Compliance in order to support management decisions, regulatory audits, and implementation of compliance controls. In-depth knowledge of data governance practices as well as an understanding of KYC, Sanctions, and Anti-Money Laundering regulations is required. The primary responsibility of this position will be to report on compliance activity in an accurate and timely manner to both internal and external stakeholders on a recurring and ad hoc basis.

Responsibilities and Duties


Design and build efficient and accurate reporting across the KYC, Sanctions and AML programs
Develop and maintain reporting framework to support our key processes and decision-making
Extract, sanitize, analyze, and report on key data for recurring reporting and ad hoc requests
Manipulate large datasets and utilize visualization tools to streamline its interpretation and management
Collaborate across members of our team to develop and maintain processes and data management techniques
Shape communication/messaging for different audiences
Create dashboards and other techniques for the display of data to senior management
Develop a methodology for consistent use of data across the team

Qualifications


Strong knowledge of Excel and SQL
Experience importing, exporting, and manipulating data
Strong knowledge understanding of data integration and data quality
Ability to quickly retrieve, organize, and analyze complex data sets to detect patterns, trends and anomalies
Strong data analysis and data modeling skills on large, enterprise-based initiatives.
Working knowledge of data architectures, data normalization and data classification
Hands-on experience with industry leading data governance tools.
In depth experience in data visualization tools ie. Tableau, Chartist, Keynote, G-Slides
Excellent analytical, problem solving and conceptual skills
Good project discipline, operating as part of a team or across teams to reach agreement to the enterprise view of the data
Implementing best practices for data governance practices related to standard naming, data definitions, taxonomy
Excellent verbal and written communication skills
Passionate love for data and a curious mind

Required Experience

4+ years of experience in one or a combination of the following: regulatory reporting, compliance, data analytics

Other Desired Qualifications

Compliance, KYC, AML, Sanctions

Previous experience investigating, writing, and filing Suspicious Activity (SARs)

Professional experience conducting investigations of financial crimes transactions or policy violations, risk management and compliance, including researching and analyzing complex transactions to detect patterns, trends and anomalies.",0
"We are seeking a Senior Business Data Analyst as part of our growing Risk Analytics and Insight team within Intuit’s Small Business & Self Employed Group (SBG). Be at the cutting edge of the FinTech industry - the SBG division moves billions of dollars in money for Intuit’s customers, whether it be ACH, credit card, payroll, lending, and whatever comes next. The successful analyst will work across functions (Fraud & Risk Operations, Data Science, Compliance, Marketing, Product, Finance, etc.) and use data to drive insights which help achieve Intuit Small Business Group’s short and long-term business outcomes.

Over the past several years, SBG has begun to build strong strategic risk capabilities in testing and analyzing new ways to widen the acquisition funnel while maintaining acceptable risk. We’re looking for a candidate to help continue to build a strong analytics culture as part of the growing team. This role reports to the Head of Analytics and Insights manager.",0
"We are looking for a hands-on Senior Business Data Analyst who is a creative problem solver with a passion to deliver advanced data-driven solutions. You will work alongside Sales and Marketing to grow the Professional Tax business at Intuit.

We are seeking a Senior Acquisition Analyst who will partner with our Sales and marketing teams and drive profitable growth. As a senior member of the analytics team, you will have a strong track record of combining advanced analytics skills, knowledge of CRM, and exceptional business and analytical acumen. Ownership mindset with a strong willingness to take new challenges with enthusiasm. Strong ability to ‘see around the corners’ and ‘connect the dots’ with a desire to proactively drive the business and not just respond to it. Lead design of new business performance leading indicators and identify relationships between business drivers.",0
"At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world.

We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let’s move the world forward, together.
The Analytics & Insights team powers data-driven decision making in Uber's Web team. As a data analyst on this team, you will shape the experience of customers interacting with Web at Uber. Additionally, you will uncover insights from Web interactions to drive product and operational improvements.

While the Web team works with all of Uber's products, the initial focus for this role will be working on optimization of Web focussed on Uber Ridesharing.

For this role you should have excellent analytical skills, excellent time-management and organizational habits, and the ability to clearly communicate and present information for stakeholders at all levels of the business. In the role you'll be part of and work closely with a cross-functional team consisting of strategy, design, development, and program managers.

You possess a passion for improving Customer experience by identifying and resolving friction on Web flows and recommending data driven changes to make the experience world class. You'll play a big part in finding opportunity fields to help Web function scale as we develop onboarding, engagement and retention strategies. You will also learn and apply advanced analytics skills like experimental design, machine learning, statistical modeling, and more.
What You’ll Do
Work directly with product and business stakeholders to translate the questions and hypotheses into structured analysis.
Own data analysis and visualization, and communicate the outcomes/insights to various stakeholders to aid strategic decisions for improvements in experience for Website users.
Work with our stakeholders and our experimentation platform to design and execute tests to help us measure the impact of product launches.
Coordinate with other members of the Team to measure the impact and efficiency of new products and business processes.
Develop analytical frameworks to support decision making.
Partner closely with specific Lines of Businesses to provide insights that drive decisions around process, policy and service model.
Build, maintain, and communicate detailed reporting & models.
Present findings to senior management to drive business and marketing decisions.
Use tools such as Google Sheet, Jupyter notebooks, and many internal tools to work efficiently at scale.

What You’ll Need
Minimum 4 years of data science, data analytics, business intelligence, growth or related experience.
BA, BS, or MS degree in Economics, Business, Engineering, Operations Research, or other quantitative focus.
Statistical methodology; multivariate analysis; experimental design; data mining.
SQL fluency: ability to work with large data sets.
Experience in reporting-based software, such as Shiny or Tableau.
Exceptional Excel & data management skills.
Strong communication and organization skills.

Bonus Points If
High-growth analytics or operations experience.
Experience working on web analytics (behavioral analytics).
Programming languages such as R and/or Python.",0
"About the Job
As a Data Engineer at Opal, you will build pipelines that connect and aggregate usage and engagement data from the Opal customer-base. These systems will sanitize, de-duplicate, and enrich data flowing from our users usage of Opal into a single accurate source that powers our business-intelligence systems. These systems directly enable data-driven decision making and execution around the Opal product offering, our customers, and our overall strategy.
Along with building our business intelligence and analytics systems, you will integrate data from different sources into the data warehouse, which ultimately will serve as a single source of truth for reporting and analytics needs.
Key collaboration points include working with our Product Management, Engineering, Marketing, Finance, and DevOps teams.
If you love building tools and data pipelines, can create clear and effective reports and data visualizations, and can partner with stakeholders to answer key business questions - we’d love to hear from you!
This position is located in our Portland, OR office and is NOT eligible for visa sponsorship.
About Opal
Opal is a collaboration platform purpose-built for the modern marketing teams of the world’s most exceptional brands. Working in Opal helps teams align on strategy, create campaigns with confidence, streamline the review process, improve the facilitation of content and seamlessly integrate with a team’s preferred distribution method. The Opal Platform tears down silos, reduces complexity and connects teams across the enterprise for winning results. To learn why Opal is the marketing collaboration platform chosen by exceptional marketing teams from brands such as Starbucks, Target, Airbnb and Uber, visit workwithopal.com.
Our team is deeply invested in encouraging a culture that promotes design thinking, collaboration and a passion for excellence. Opal works together as a team to revolutionize the modern marketing organization.
Responsibilities:
Build the Opal Data Pipeline
Design, implement, and automate deployment of systems for collecting and processing analytics events from multiple sources.
Build Extract-Transform-Load (ETL) pipelines using systems like Apache Airflow.
Drive architectural plans and implementation for future data storage, reporting, and analytic solutions.
Funnel data from disparate sources into the Opal Data Pipeline
Design the data-schema for properly storing and aggregating analytics data around product adoption, usage, and performance.
Ensure that the data is complete, accurate, and aligned to the needs of internal and external reporting consumers.
Write Extract-Transform-Load (ETL) jobs in Apache Airflow to calculate business metrics and process data for further presentation and analysis.
Build pipelines that sync and distribute data from various analytics systems into our data warehouse.
Maintain and administer the systems that power the Opal Data Pipeline
Monitor and troubleshoot operational or data issues in the data pipelines.
Build tools to manage, automate and monitor our data and data processing infrastructure hand-in-hand with our DevOps and Engineering teams.
Requirements
Skills, Experience, Knowledge:
2+ years of related data-engineering and/or business intelligence (BI) engineering and analytics experience.
Experience in creating ETL pipelines, preferably with Apache Airflow.
Significant experience in modeling information for both relational, dimensional and log-based databases.
Deep understanding of SQL, dimensional/relational databases and data access patterns.
Working familiarity with BI/reporting tools such as Tableau, Periscope, Superset, and PowerBI.
Working familiarity with modern web application analytics toolchain, such as Segment.io, Mixpanel, Snowflake, Fivetran, Pendo, etc.
Experience using dynamic languages like Python and Ruby.
Understanding of Docker and CI/CD deployment pipelines.
Ability to work with structured, semi-structured, and unstructured data sources.
Detail-oriented and able to enforce consistency in naming conventions, standards and nomenclature.
A passion for building great software products and deeply understanding user behaviour.
Effective written and oral communication skills when interacting with both technical and non-technical staff.
Skilled at time and project management with the ability to move between priorities and manage deadlines across multiple focuses and teams.
Experience working with employees at all levels, from interns to Executives.
Experience working in a fast-paced, high-growth, start-up environment a plus.
Natural alignment with Opal’s Values: Professional, Intentional, Steadfast, Helpful, Creative, Passionate, and Empathetic.
Demonstrated ability to work effectively with individuals from diverse communities and cultures.
Education:
Undergraduate degree or equivalent work experience required; advanced degree in a related field a plus.
Benefits
Benefits of being an Opal employee include:
Competitive, market-leading compensation package, including stock options
100% company-paid Medical/Rx, Dental, and Vision Insurance for individuals (40% company-paid for dependent tier coverage)
Flexible Spending Accounts (FSA) for Health, Dependent Care, Commuter, Parking
Company-paid Life/AD&D, Short and Long Term Disability Insurance
Pet Insurance for your furry friend
Flexible Paid Time Off and Paid Holidays
Paid Parental Leave & Back-to-Work Program
401(k) and Roth Retirement Plans
Company-sponsored outreach & activity programs
Modern office space with snacks, coffee, and friendly coworkers
Opal is an equal-opportunity employer and committed to creating an inclusive and diverse environment. We believe a diverse workplace promotes innovation and enhances decision making. We encourage applications from all qualified candidates and will consider all applicants without regard to race, color, religion, gender identity or expression, national origin, sexual orientation, disability, age, or veteran status.",3
"Interviewing is the gateway to building careers and teams.
----------------------------------------------------------------

Yet, it's no one's job to do it with fairness and professionalism -- so we made it our job.
-------------------------------------------------------------------------------------------------------

Our mission is to be the world's interviewer. We conduct highly predictive interviews for our clients with rigor, humanity and fairness. Karat helps companies hire the engineers they need to create the future and helps ensure that engineers are in jobs that maximize their strengths.

Karat conducts first-round technical interviews on behalf of companies like Indeed, Intuit, Pinterest, and Citrix. Our network of experienced Interview Engineers have conducted tens of thousands of technical interviews with software engineering candidates. Clients increase capacity to interview and unlock engineering productivity, all while providing exceptional candidate experiences.

Founded in 2014, Karat is a privately held and venture-funded company ( https://news.crunchbase.com/news/karat-raises-28m-series-b-led-by-tiger-global/ ) based in Seattle. Key clients include Pinterest, Indeed, Citrix, Intuit, and Palantir.

About our Data Engineering Team at Karat:
-----------------------------------------

Our Data Engineers work directly with analysts, scientists, and stakeholder teams to build the infrastructure, reporting, and product features that power insights at Karat. Data Engineers at Karat design and build the product features needed to make interviews more predictive. They also engineer the systems and processes needed to derive meaning from this data. Working on the Data and Delivery engineering team you will shape the future of how our company ingests, analyzes, and talks about data.

The ideal candidate for this role is comfortable designing and building software for real customers, manipulating data and wielding statistics, providing technical and product recommendations, working cross-functionally to support ideas from inception to launch, and capable of presenting and being a thought partner across the company.

Core Responsibilities:

Help build the solutions to scale our platform for a constantly increasing number of interviews. As part of the Data and Delivery team, you will work with stakeholders like Customer Experience, Customer Success, Interview Engineer Management, and Finance to scale software and processes.
Analyse and build models for a variety of data sources like candidate performance, interview engineer performance, sales pipelines, and more.
As we collect richer data about the user interactions during each interview and client hiring decisions, you will work with our data to increase the signal captured in every minute of our interviews and maximize the value provided to clients.
Nurture the data conversations and culture at Karat by educating technical and non-technical teammates about data literacy and usage.
Level up the skills of everyone around you through direct mentorship, brown bags, clean code, and setting a strong example.

About You:

4+ years industry experience in data engineering or science
Success leading and mentoring other engineers
Masters degree in mathematics, statistics, computer science, or a related field, or equivalent experience
Experience with and a knack for communicating technical work to stakeholders
Experience designing and refining machine learning models
Strong data analysis and scientific thinking skills
Proficiency in one or more programming languages for building systems as well as data analysis
Skill constructing SQL queries (using Postgres or a similar platform)

Benefits of joining Karat:
While doing meaningful work is rewarding in itself, we also offer the following programs and benefits for all our full-time employees:


Competitive salary and benefits
Medical / dental / vision insurance
Flexible vacation and paid company holidays
Paid parental leave
Quarterly offsites & working retreats
State-of-the-art equipment for your work station

Karat is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Karat and the state/country where you work.",3
"*************************
Sumo Logic: Data Engineer
*************************

What we do:
We are a cloud-native SaaS machine data analytics platform, solving complex monitoring problems for DevOps, SecOps and ITOps teams. Customers love our product because it allows them to easily monitor and optimize their mission critical, large scale applications.

Massive Scale:
Our microservices architecture in AWS ingests hundreds of terabytes daily across many geographic regions. Millions of queries a day analyze hundreds of petabytes of data.

At Sumo Logic, we are building a data platform designed to power the analytics and investigations that are common in the Security Operation Centers of large enterprises. It is designed to accept hundreds of billions of events from security-relevant data sources (detection products, network sensors, log shippers, inventory systems) per day. It is cloud-native, with no plan to support an on-premise deployment. It is multi-tenant, and is designed to simultaneously process events from thousands of our customers. And, it is security-focused — it is designed to perform the kinds of stateful analyses that security analysts demand.

We are building this platform the way startups should — with ruthless prioritization, and with a live and demanding customer base. By joining as a Data Engineer, you have the opportunity to make our vision a reality, one feature at a time.

What You Will be Doing


Building, improving, maintaining, and scaling stream processing services.
Writing code. Reviewing code. Revising code.
Giving feedback on our standards. Holding your team mates to them.
Collaborating with teammates on major feature designs. Sometimes, you will own features, sometimes others will.
Helping our team grow organically. We value referrals. We value your feedback on candidates.

Who You Are


You are a software engineer. (We treat our data systems as software systems, and engineer them accordingly.)
You love working with data. (Small data. Big data. All the data.)
You are excited to optimize for events per second (not requests per second).
You have experience working with (or, at minimum a desire to work with) the technologies we use: Kafka, RocksDB, ElasticSearch, JanusGraph, Postgres, Spark, HBase.
You know (or want to write software in) Scala.
You love collecting data about your software as much as writing software that collects data. We measure everything. We make data-driven decisions.
You are collaborative. Nothing this hard can be accomplished by working alone. We work as a team.
BS in Computer Science or equivalent experience (Masters Degree in CS is a huge plus)

About Us: https://app.box.com/v/SLGeneralDossier ( https://app.box.com/v/SLGeneralDossier )

Mission:
Democratize machine data analytics through the Sumo Logic platform, bringing real-time data insights securely through the cloud.

Funding and Growth:
We have received $345.5 million in funding to date. Investors include Greylock Partners, Sutter Hill Ventures, Accel Partners, Sequoia Capital, Sapphire Ventures, DFJ Growth, and Battery Ventures. Our recurring revenue and customer base are growing steadily. We serve over 1,600 customers across the globe including AirBnB, Alaska Airlines, Anheuser Busch, Hootsuite, Hearst, Hudl, Major League Baseball, Marriott, Medidata, Sauce Labs, Samsung SmartThings, SPS Commerce, Twitter, Telstra, Toyota, Zuora and more.",3
"“Intuit Again” is a returnship program at Intuit for professionals returning to the workforce after taking time off from their careers for caregiving. During this returnship you’ll receive 16 weeks of paid employment doing work you love for one of the world’s most innovative companies. You’ll have the chance to update your skills, add new work experience to your resume, and make professional connections.

After completing the 16 weeks of the returnship program, there will be the potential opportunity for a full time offer. The program is open to anyone who has at least five (5) years of professional experience and have been out of the paid workforce for at least eighteen months (18) to focus on caregiving. If you meet these criteria and your skills match our needs, we welcome you to apply.

In this role, you can help engineer solutions that empower millions of businesses/customers worldwide. Your role is to work in small agile scrum teams to deliver awesome products that not only delight customers, but that are highly scalable and reliable. Using your detailed understanding of technologies and applying your intellectual curiosity you will help design, develop, and improve the features that help our customers run their businesses easily every day.",3
"--------------
About the Team
--------------

Our team is made up of bright, kind and motivated people from varied backgrounds, who built and scaled organizations like Airbnb, Shutterfly, Oracle, Google and Netflix. Cross-functional partnerships are deeply meaningful to us and are how we've built up immense trust with the people running the business. We focus on high-value products that solve clearly identified problems but are designed in a sustainable way so that value continues to deliver in the long term.

--------------------
About the Role
--------------------

We are looking for a Data Engineer for the Insights team, which focuses on delivering solutions that enable our finance team to be successful. You will partner with Engineering, Finance, IT, People & Culture (HR) and other teams to understand their requirements, synthesize them, and work with the IT team to build global scalable solutions.

You will design and configure end-to-end solutions—not just features—by developing an understanding of how Stitch Fix works, and collaborating with business partners to define product requirements, plans, and deliverables. Your commitment to applying technology to business challenges in clean & innovative ways will make you a trusted advisor to your partners and their teams. You will own programs and projects, and will impact the business in a tangible, visible way.

In this role as a Data Engineer, you will lead the implementation, design, configuration, and maintenance of an enterprise data warehouse. You'll work with our Data Architect to make decisions and implement the infrastructure necessary to the management of our custom build financial accounting hub and rules engine. This role will involve building infrastructure to allow data to flow between our engineering & enterprise systems and enable better decision-making throughout our business. The right candidate for this role will have experience in combining open-source and commercial technologies, as well as being comfortable building or buying components to create an enterprise-wide solution.You have experience working on large, cross-functional teams and are an expert in data warehouses, business intelligence systems, and ERP/transactional systems like Oracle Cloud Financials, Anaplan, Essbase.

--------------------------------------------------------------------------
You're excited about this opportunity because you will…
--------------------------------------------------------------------------

Data Engineering
----------------------


Be responsible for architecting our next gen Data Processing applications and reporting systems/Engine through Python, SQL, Talend, Tableau. Redshift and Big data tools – Hadoop, Hive, HDFS, etc. Relational SQL and NoSQL databases
Craft optimal data processing architecture and systems for new data and ETL pipelines and drive the recommendation for improvements and modifications to existing data and ETL pipelines
Help to evangelize high quality data engineering practices towards building data infrastructure, pipelines at scale and foster the next-gen State of Art Data Warehouse
Design and build robust data integrations within our data platform and between the engineering systems to enable touchless data processing.
Evangelize our reporting platform to embrace new initiative like prescriptive modeling, Self-Serve analytics and machine learning through data engineering solutions
Drive internal process improvements and automating manual processes for data quality and SLA management

Reporting & BI
------------------


Build rich, interactive, and Executive-facing dashboards to track the progress of the business and its highest priority initiatives
Analyze large data sets to identify, evaluate and prioritize new opportunities to grow and optimize the business through analytics, financial modeling, and business case development
Identify key business levers, establish cause and effect, perform analyses, and communicate key findings to various partners to facilitate data-directed decision-making
Work closely with business partners to develop OKRs, build operating dashboards, and manage performance and reporting to key stakeholders

Partnership
-----------


Develop an understanding of Stitch Fix's current state management reporting processes to facilitate future state recommendations
Collaborate with business partners at all levels to facilitate issues resolution, troubleshoot functional application issues, develop solutions to support business needs, and help determine opportunities to leverage current analytical application capabilities
Build effective partnerships across teams
Develop innovation strategies, processes, and best practices; drives the execution of multiple business plans and projects and ensures business needs are being met.

------

---------------------------------------------------
We're excited about you because…
---------------------------------------------------


You build strong relationships and partnerships. You love people, processes and technologies. You love to interact with Finance and IT to build solutions that empower Finance to be immensely productive.
You have deep respect for your craft. You are a data expert. You live and breathe data. You get excited about data warehouses, new technologies around data, data analysis and data engineering.
You are proficient in implementing and executing SOX controls, program change management functions and SOX recertifications. You have led a team of systems analysts, integration developers, QA engineers and data analysts to provide an end-to-end solution using our ERP applications.
You have exceptional communication skills. You have the ability to develop and communicate the program objectives, inspire and motivate staff, and maintain alignment with the business strategy. You have excellent verbal and written communication skills, including the ability to explain and ""sell"" the program goals and objectives to the business, as well as technical leadership.
You have amazing qualifications. You have more than 5+ years of industry experience. You have demonstrated success in managing complex and/or large scale global projects.
You are respectful, empathetic, and humble. We want you to take your work seriously and be open to personal and professional growth. However you can also have a lot of fun doing your work. Successful people show everyone respect and consideration.

------

-----------------------------------------------
You'll love working at Stitch Fix because we...
-----------------------------------------------


Are a successful, vibrant, fast-growing company
Are a technologically and data-driven business.
Are at the forefront of tech and fashion, redefining shopping for the next generation.
Are passionate about our clients and live/breathe the client experience.
Get to be creative every day.
Have a smart, experienced, and diverse leadership team that wants to do it right & is open to new ideas.
Believe in autonomy & taking initiative.
Have sunny offices in downtown San Francisco, CA
Offer transparent, equitable, and competitive compensation based on your level to help eliminate bias in salaries, as well as equity and comprehensive health benefits.
Are serious about our commitment to life-work balance, and have generous parental leave policies.

----------------

About Stitch Fix
----------------

Stitch Fix is an online personal style service for men and women combining art and science to disrupt and redefine the retail industry. We're the first fashion retailer to blend expert styling, proprietary technology, and unique product to deliver a refined and deeply personalized shopping experience. We leverage vast amounts of client data to make decisions throughout the company. All of this results in a simple, powerful offering to our customers and a successful, growing business. We believe we are only scratching the surface of our opportunity, and we're looking for incredible people to contribute! We'd love for you to help us carry on the trend.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",3
"About Us

Decode_M is a new kind of insights and strategy firm. We Decode Data into Momentum™ for individuals, organizations and movements. This means, for each client in our diverse portfolio (think Estee Lauder Companies, Airbnb, WeWork, Brooklyn Brewery, the NHL), we use wide-ranging data sources to diagnose what’s most in the way of our clients’ ambition and then advise them on how to move forward.

We’re a tight-knit group that’s sharp, a little quirky and extremely collaborative.

The Opportunity

We’re actively looking to recruit a Senior Data Scientist with 3+ years of experience who, among other things, can lead the Data Science team in developing scalable data solutions for the team and our client challenges. This position, based in New York City, requires an interest in managing the data science workflow and product. It requires excellent organizational skills and management, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. Expect to learn a lot about cool companies, new products, and the latest in digital, analytics, research and strategy.

Who You Are

You have 3+ years of relevant work experience in applied statistics and/or machine learning
You have 1+ years of management experience
You are proficient with Python or R, and SQL
You have experience using applied statistics, and you’re comfortable working with imperfect data
You are an autodidact, who loves to figure out solutions to problems by diving deep into Stack Overflow (or your preferred resource)
You are curious, inquisitive, proactive, organized, and methodical. You like to use substantiated data to both identify and solve problems, rather than trust your gut alone
You have an understanding of qualitative and quantitative research and/or digital analytics

What You'll Do

Lead a team. Help to set the vision for the Data Science team and follow through on that vision. Be a mentor to a team of data scientists, helping them to develop professionally.

Manage Process. Work with individuals on the team to manage workflow and ensure that they doing their best work and producing the best quality product

Build Data Tools. Use data from social media, online reviews, mainstream media sites, search, web traffic, quantitative research, CRMs or other databases, etc. to uncover intelligence around growth opportunities and business challenges. Build software and/or repeatable processes to scale this work

Improve our Statistical Knowledgebase. Advance our capabilities for how statistics and machine learning should be used in analyzing digital trends, CRM data, and quantitative research

Develop Custom Viz. Transform data and insights into compelling and creative visualizations

Scale our data solutions. Creatively identify opportunities in our process for scalable applications, and collaborating with others to construct these tools

What You Can Expect From Us

We go beyond providing a competitive salary and benefits. We want our people to be successful – in work and in life. From on-the-job learning to formal classes, seminars, and online courses, we’ll invest in you and we’ll help you grow. Promise.

We’re an equal opportunity employer. We embrace diversity and are committed to creating an inclusive environment for all our employees.


How To Apply

Send your resume and a cover letter to jobs@decode-m.com.",1
