description,y
"About Amobee:
Amobee is the world’s leading independent advertising platform that unifies all channels—including TV, programmatic and social—across all formats and devices. We provide marketers with advanced cross-channel media planning powered by advanced analytics and proprietary data. Our platform and technology provide sophisticated video-advertising solutions for the convergence of linear TV, over the top, connected TV, and premium digital.

Amobee has been named to Fortune’s Top 10 Best Workplaces in Advertising and Marketing. Amobee’s platforms have been widely recognized amongst our industry winning numerous awards in technology innovation. We are a wholly owned subsidiary of Singtel, one of the largest telco companies in the world, reaching over 700 million mobile subscribers in 21 countries. Amobee operates across North America, Europe, Middle East, Asia and Australia. For more information, visit amobee.com or follow @amobee.

Position Overview:
As a Data Analyst, you will be working with the team to support the deployment, reporting and analysis of algorithms used to buy, sell, , allocate, forecast and deliver advertising on the internet and TV. You will contribute to bleeding-edge solutions through the application of mathematics, optimization, and machine learning capabilities. The position provides great opportunities to communicate with the business directly, bridging the gap between technology and business. Qualified individuals will have a solid background in the fundamentals of data engineering, data science, computer science or statistics, along with experience and comfort accessing and manipulating data.

Responsibilities:

Apply mathematics to optimize the acquisition and allocation of advertising inventory using information about the inventory, advertiser and the targeted consumer
Work cross functionally to gather feedback and requirements from end users
Design innovative solutions and build prototypes for proof of concept
Develop, launch, and evolve new products
Be a thought leader in identifying and vetting new data sources
Execute research that results in ground-breaking papers and case studies that support the needs of the sales and marketing functions
Perform ad-hoc analysis on campaign, publisher, or product performance

Requirements:

A bachelor’s degree in a quantitative discipline, such as Computer Science, Statistics, Mathematics, Industrial Engineering, Mechanical Engineering.
1-4 years of experience in Data Science/Engineering.
Strong analytical and problem-solving skills with attention to detail
Ability to work as part of a team in a fast-paced environment
Good communications skills
Experience with statistical software (e.g., Python, R)
Experience with data engineering tools used to access, merge, transform and evaluate data sources (SQL)

Additional skill of interesting:

Experience with data frameworks (e.g., Spark, Pig)
Experience with Gurobi
Experience with modeling concepts, such as training/test paradigm, validation of models, and knowledge of modeling techniques (linear and logistic regression, decision trees, etc.)

Location: Baltimore, MD

In addition to our great environment, we offer a competitive base salary, employee development programs and other comprehensive benefits. Please send a cover letter along with your resume when applying to the position of interest located at Amobee.com. We are an Equal Opportunity Employer. No phone calls and no recruiting agencies, please.",0
":
As a Business Analyst at Starboard Cruise Services, you will have the opportunity to develop the future of our analytics capability and work on rich, cross-functional data sets. You should have strong technical, business and communication skills to translate key business questions into statistical models & analyses that answer those questions.

You will drive regular deep, topical analyses on a broad range of strategic and tactical questions ranging from brand and cruise line performance to global retail trends and supply chain. This versatile role leverages an understanding of statistical modelling, combined with technical aptitude and business understanding to build capacity and insights, enabling Starboard Cruise Services to deliver outstanding customer experiences while materially growing revenue for Starboard, the brands we work with, and our cruise line partners. The ideal candidate is a self-starter with a wide range of technical & analytical skills, and highly proficient in turning data discoveries into actionable insight.
What youâll be doing::
PRIMARY RESPONSIBILITIES:
As an early team member, you will play a key role in the development of a data science practice by shaping the technology and vision of our team
Display an infectious intellectual curiosity and fortitude, with a deep commitment to learning and applying to solve critical business problems and push the boundary of our capabilities
Thrive in an environment of flux and uncertainty by applying equal parts scientific objectivity and intellectual ingenuity to solving problems and proving out hypothesis and long-held beliefs
Proactively develop new metrics and studies to quantify the value of different aspects of business processes and consumer behavior
Translate analytic insights into concrete, actionable recommendations for business or product improvement
Revel in the complex, but seek to simplify and clarify in your analysis and communications
Support BI Reporting: In collaboration with leadership, support the development of Business Intelligence (BI) dashboards to highlight key performance indicators (KPI) across business units. Work will include multi-source data integration and development in BI tools
Actively participate in ad hoc analysis as needed, being flexible to changes in priority
Provide business analysis and projections to guide the decision making process for new itineraries/seasonality/demographic changes
Serve as a liaison on cross functional initiatives and special analytical projects
Other duties as Assigned: May perform other ‘ancillary’ duties as assigned.
What weâre looking for::
JOB SKILLS REQUIRED:
Ability to self-educate and learn in a highly complex, ambiguous, and rapidly changing environment
Excellence in applying analytical rigor & technical proficiency to the business environment
Ability to manage time and workload effectively with minimal supervision
REQUIREMENTS:
Bachelor’s degree in computer science, mathematics, statistics, physics, or other quantitative discipline data science, or equivalent experience
Experience with data cleaning, preparation, and feature building and selection techniques
Experience working with large data sets to solve problems
Prior hands-on experience with Python, Java or Scala and the ability to write reusable and efficient code to automate machine learning pipeline and data processes
Possess solid writing, data visualization and communication skills Ability to handle multiple concurrent projects while working independently and in teams
Ability to work in a fast-paced and deadline driven environment
3+ years experience with statistical programming languages (for example, SAS, R) and/or with SQL and relational databases (for example, DB2, Oracle, SQL Server)
KEY COMPETENCIES:
Actively participates and collaborates with others throughout Starboard for the achievement of business goals
Works smart by setting effective goals, establishing priorities, and planning well to produce quality work
Executes effectively by using resources efficiently, meeting deadlines, and keeping others informed
Challenges the status quo, champions change and continuous improvement
Make Sound Judgments
Optimize Execution and Results
Influence and Communicate
Promote Ethics and Compliance
Demonstrate Adaptability
NOTE: Travel less than 10%",0
"Infosys– MFGD- Associate Consultant – US - Program Manager/ Data Analyst

Infosys is a global leader in next-generation digital services and consulting. We navigate our clients’ digital transformations in 45 countries across the world. We do it by enabling enterprises with an AI-powered core that helps prioritize the execution of change. We also empower businesses with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Wanted: Global navigators, to guide the world’s largest enterprises’ digital transformations

Location for this position is San Jose, CA . This position may require 5% travel
U.S. citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.

Do you love working with data? Are you passionate about turning complex data into information, information into insight, and insight into business decisions? The Data Protection and Privacy (DPP) team is looking for a a highly motivated Business Intelligence Manager who has a strong background in Database tools like Hadoop, Hive, Spark, and Tableau

In this role, you will drive metrics reporting for DPP policy enforcement. You will work with DPP teams as well as teams from Security and Trust Organization to align on Data Acquire strategy, data set management and reporting. Your goal is to integrate DPP policy compliance metrics into overall DPP and S&TO metrics report in a consistent and seamless way.

Required Skills:
Provide program/ project management support
Experience in the field of data science, building predictive analytics solutions for different business problems Experience in handling large datasets (Structured or Unstructured)
Acquire data from various Sources for Data Science leveraging Database tools.
Develop Self Service capability through Tableau Data Source, APIs
Data Visualization using Tableau.
Collaborate with Cross Functional team to enable End to End Solution
Advanced knowledge of statistical techniques, machine learning algorithms, data mining and text mining
Strong Programming background and expertise in building models in languages like Python, R, Scala etc.
Quick Learner and should be able to build solutions to solve complex business problems Experience working with big data platforms, like Hadoop, Hive, HBase, Spark, Elasticsearch etc.
Initiate project to improve process and tools

Whom you will work with:

You will work across business stakeholder, IT, solution manager and product owners to define problems, scope projects, and deliver intelligent data solutions.
You will have the opportunity to work with some of the latest technologies, work on the most transformative projects, and join a select Data Science team passionate about data-driven decisions, applying technology and continuous learning.

Preferred Qualifications
MS degree or Equivalent in a quantitative discipline (e.g., computer science or information science/M-Tech(Stat))
5 years of relevant work experience in data analysis or related field. (e.g., as a data engineer, database architect)
10+ years of Industry experience in Program and Project Management.
Experience in visualization using Tableau or similar products
Experience working with Relational Database like SQL, Oracle, Teradata, SAP Hana and Proficient in writing complex SQL queries for integration with Application.
Experience with NoSQL technologies, specifically Document (MongoDB) and Graph (Neo4j) types and Hadoop.
Experience with statistical software (e.g., R, Python,SAS, SPSS etc).
Applied experience with machine learning.(Logistic Regression, Neural Network, Random Forest, Ensemble methods)
Experience in articulating business problems and answering using mathematical techniques using available data.
Effective written and verbal communication skills.
Demonstrated leadership and self-direction",0
"Our formula for innovation begins with agile, cross-functional teams that welcome diverse perspectives and embrace collaboration. Inspirational working environments help spark fresh ideas, with state-of-the-art technology and creative workspaces that allow our team to decide how they want to work. And our shared commitment to make a meaningful impact for our customers helps us push the boundaries of technology to uncover new possibilities. If you have a commitment to excellence and a passion for innovation, come join our team.",0
"The Cybersecurity & Technology Controls group at JPMorgan Chase aligns the firm’s cybersecurity, access management, controls and resiliency teams. The group proactively and strategically partners with all lines of business and functions to enable them to design, adopt and integrate appropriate controls; deliver processes and solutions efficiently and consistently; and drive automation of controls. The group’s number one priority is to enable the business by keeping the firm safe, stable and resilient.
As an experienced Infrastructure Engineering professional, you'll be making decisions of a global and strategic nature that impact our customers, clients, and businesses around the globe. Your expertise in analyzing complex data systems, anticipating problems, and finding ways to mitigate risk, will be key in leading a high performing team to successfully design and navigate the program roadmap. By incorporating your knowledge of business drivers, you will affect change and lead development of innovative improvements and world-class practices. Your team will be responsible for driving results, and implementing multiple, complex programs that span the breadth of the business, and they’ll look to you to provide the technical leadership to move them forward. And while you will be part of a tight-knit team that shares your passion for technology, you’ll also gain access the best minds in the business—both as part of the JPMorgan Chase & Co. global technology community, and through our partnerships with some of the most important tech firms in the world.

This role requires a wide variety of strengths and capabilities, including:
BS/BA degree in computer science, data analytics or equivalent experience.
Advanced knowledge in the following key areas: Hardware Architecture (performance testing, monitoring, operations), Hardware Benchmarking (program management, network management), Design (compliance, security), Network Engineering (planning, provision).
Advanced understanding of business technology drivers and their impact on architecture design, performance and monitoring, best practices and JPMC policies.
Proficient in multiple infrastructure technologies.
Demonstrated ability to conceptualize, launch and deliver multiple IT projects on time and within budget.
Ability to articulate to more experienced management a technical strategy in clear, concise, understandable terms.
Ability to rapidly develop of new data and analytic solutions using machine learning with fast iteration over quick sprints.
Ability to breakdown business problems into solvable components by assessing the requirements and/or business implications to arrive at recommended solutions, with minimal supervision.
Proficient in python programing language (Scikit-learn, Py-Torch), Jupyter Notebooks.
Strong skills in machine learning: time series predictive analytics, NLP text analytics, deep learning.
Working knowledge with products such as Splunk, Grafana, Tableau, Qlik, and other visualization products.
Strong SQL skills, ability to perform effective querying involving multiple tables and sub queries.
Working knowledge of Cloud Machine Learning and Deep Learning tools.
Experience working with and creating dashboards using all relevant data to inform decisions.
Strong awareness of Perl, R, Powerbuilder, Bash / Shell, C, C++, JAVA, or other programming / scripting languages.
Ability to automate data collection using Web APIs (Application Programing Interface) Communication protocol.
Strong problem solving, quantitative and analytical abilities.
Strong ability to plan and manage numerous processes, and projects simultaneously.
Excellent verbal and written communication skills.
When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech organizations. In our global technology centers, our team of 50,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $11B annual investment in technology enables us to hire people to create innovative solutions that are transforming the financial services industry.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.",0
"Are you someone with a passion for data, analytics, insights and technology? Do you want to work on one of the largest analytics teams at Microsoft, creating attribution models that drive key business decisions for the entire marketing organization?

The Microsoft 365 Insights, Data Engineering & Analytics team (IDEAs), is the central data team for Microsoft365 engineering and marketing. The team is looking for a creative, analytical and experienced analyst who loves big data, are curious to explore and wants to impact business decisions via attribution modeling.

To be successful in this role, you must be driven, self-directed, entrepreneurial and focused on delivering the right results. You also thrive in a team environment that values cross team collaboration and building on the success of others.

Responsibilities
Drive attribution model building and validation process
Advise and educate partners on attribution best practices and logic
Partner with data engineering to design efficient and scalable solutions
Build new attribution models using statistical models and other rigorous methods
Prototype datasets covering full lifecycle customer journeys
Qualifications
Familiarity with attribution modeling and various standard methodologies
Bachelor’s degree or higher in Statistics/Math/Computer Science or related field
3+ years of industry work experience to implementing statistical models and analysis in a big data environment
Exposure to digital marketing tools and landscape (Web, SEM, SEO, Direct, Social, Analytics, Mobile, Lead Nurture, etc.)
Advanced working knowledge of data mining using SQL, ETL and Data Warehouses
Experience on large scale computing systems like COSMOS, Hadoop, MapReduce and/or similar systems preferred
Be self-driven, and show ability to deliver on ambiguous projects with incomplete or dirty data
Comfort managing multiple projects simultaneously amid ambiguity and without direction.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",0
"MORE ABOUT THIS JOB:
CONSUMER (MARCUS BY GOLDMAN SACHS)
Marcus by Goldman Sachs is the firm’s consumer business, combining the entrepreneurial spirit of a startup with 150 years of experience. Today, Marcus has $50 billion in deposits, $5 billion in loan balances and 4 million customers across our lending and deposits businesses, as well as the personal financial management app, Clarity Money. Through the use of insights and intuitive design, we provide customers with powerful tools and products that are grounded in value, transparency and simplicity. We are backed by our unique team, comprised of individual contributors from leading agile technology companies, fintechs and consumer financial services companies, allowing us to disrupt the industry, while helping consumers take control of their financial lives.
RESPONSIBILITIES AND QUALIFICATIONS:
HOW YOU WILL FULFILL YOUR POTENTIAL
You will be part of the technology function for Marcus, focusing on building a business intelligence architecture that enables the business to operate efficientlyYou should be able to quickly build visualizations on top of AWS / Hadoop / Sybase data to meet business needs, as well as be the thought leader to influence functional heads on new and innovate ways to visualize data that will help drive business valueYou will help design data architecture to enhance existing pipelines as well as build feeds for new data sourcesYou will participate in data architecture decisions and partner with technology teams to implement data products in production systems.You will work closely with business partners and technology leaders to evaluate new BI tools that can further enhance the business’ ability to analyze dataYou should be able to commercialize data products and influence leadership on the value of these products

QUALIFICATIONS
Advanced degree in Engineering, Computer Science or related disciplinesHands-on experience with the Hadoop or Spark big data platform and one or more mainstream programming languages (Python, Java, C, Scala, C++, etc.)Experience in building data products from ideation to implementationAt least 2 years experience in a visualization tool such as Tableau or QlikViewAt least 5 years experience dealing with data (structured or unstructured)Ability to explain data analysis to drive business ideasStrong project management skillsExperience working in a start-up business or a new business line within a larger organization is preferred

CONSUMER AND INVESTMENT MANAGEMENT DIVISION (CIMD)
The Consumer and Investment Management Division includes Goldman Sachs Asset Management (GSAM), Private Wealth Management (PWM) and our Consumer business (Marcus by Goldman Sachs). We provide asset management, wealth management and banking expertise to consumers and institutions around the world. CIMD partners with various teams across the firm to help individuals and institutions navigate changing markets and take control of their financial lives.
ABOUT GOLDMAN SACHS:
ABOUT GOLDMAN SACHS

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.


We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.


We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html
© The Goldman Sachs Group, Inc., 2020. All rights reserved.
Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity",3
"Company Overview:
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.

For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2018. We’re treating cancer, one patient at a time. Join us and make a difference every day.

Job Description:
Do you want to learn about and deeply impact the future of cancer research, medicine, and health care?

The Precision Pathology Biobanking Center (PPBC) is a newly established Research Center at MSK and its Department of Pathology.
Using complex real-world structured, text, and image data, Memorial Sloan Kettering (MSK) has collected over the past 20+ years, the Scientist will develop and implement advanced computational methods to power the PPBC’s efforts to build a best-in-class analytics platform for healthcare data. The development and implementation of cutting-edge computational Big Data Analytics represents a major strategic priority for the Center. This recruitment seeks to expand this expertise within the Center.

The right candidate will have a track record of developing new quantitative methods such as Machine Learning, Artificial Intelligence (AI), or Natural Language Processing (NLP) and apply them to complex problems in medicine. To that end, the Computational Scientist will actively chip in to the research community through collaborations with academic partners, publishing in peer-reviewed journals, and attending top-tier conferences.

This position is a leadership position in computational science and will develop, oversee, and implement a comprehensive computational strategy for the Center in addition to leading a team of computational specialists.
You Will:
Performs software development, programming, and support for the PPBC
Interest in Natural Language Processing, AI, Machine and Deep Learning
Develops, maintains, and expands functionality of existing and to be developed biobank database systems
Works closely with other IT groups throughout MSKCC on development and federation of database systems
Develops software systems using a mix of the following: C/C++, Python, Java, Perl/CGI, JavaScript, Ruby, and SQL
Installs necessary and relevant software. Knows the latest with new software versions, patches and security
Builds tools for real-time federation to other databases at MSKCC
Stays current with general bioinformatics tools and installs/runs tools as needed (genomics, proteomics, other bioinformatics tools)
Works to develop web-based visualizations of PPBC data
Collects use scenarios and functionality requirements for biobank specimen acquisition, database entry, specimen storage and annotation, and automated retrieval
Develops an attractive web presence for the PPBC and real-time data display (“dashboard”) of relevant biobank data
Collaborates with the clinical pathology team on interoperability and data flow between clinical LIMS (CoPath) and research databases
Works with Linux systems administrator to configure new and existing software packages for security, performance and maintainability
Performs database integrity checks and prepares the PPBC informatics pipeline for clinical certification (CAP, CLIA)
Sets up technical evaluation studies for the optimization of database schemas and SQL queries
Writes scripts to monitor database back-ups and archiving when appropriate
You Have:
Bachelor’s Degree with 2-4 years in computer science or related field. Master’s or PhD with 0-2 years experience preferred
Background in biology, medicine, biochemistry, etc. very desirable
Proven background in programming, configuring, and implementing database systems required
Experience with bioinformatics algorithms and software tools very desirable; writing and modifying code
Prior experience with biobank database systems preferred (e.g., caTissue Suite, other open source software or commercial, such as Freezerworks)
Experience with web programming and data visualization on websites
Experience with health data exchange standards (HL7) preferred
Experience with building, configuring, running, and maintaining Linux servers preferred
High-performance computing experience preferred
Solid experience with programming, modifying, customizing, and querying database systems (Oracle, SAP)
Experience with data federation between different database systems
Experience with production systems and building data warehouse products and reporting systems desirable
Benefits:
Paid time off including vacation, bereavement, sick leave
Paid Parental Leave
Comprehensive medical, dental & vision, FSA and dependent care
Life Insurance and Disability Benefits
Fitness Discounts
403(b) retirement savings plan match
Tuition Reimbursement
Commuter spending account
#LI-POST
Closing:
MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.
Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.",3
"Houndstooth Capital Real Estate is a boutique real estate investment and development company in Austin, TX specializing in residential and multifamily assets. Houndstooth uses direct market intelligence to find real estate assets with value-add potential.We are looking for a CRM expert to join our team. This is a high impact role, as our business relies on the efficient flow of information through our CRM. You will be responsible for the design, development, testing, and support of our customer relationship management ecosystem (Zoho One). You will lead and be responsible for designing and implementing our business processes to run on the Zoho One CRM platform.This is a unique opportunity to collaborate with the founder and VP of Sales and dive into all parts of the process and learn the business by experiencing it first-hand. If you’re searching for a long-term partnership and a quick growth trajectory, this is the place for you.As a Houndstooth team member, you bring a growth mindset, desire to learn new technologies/processes, strong communication skills and are a positive team player.Every day will be different, but a majority of the time you will:Own Zoho One’s full life cycle and it’s applications, including scripts, development roadmap, execution and maintenanceDrive strategic business results through building custom tools and scripts to automate manual business processesImplement and customize business applications on Zoho One including CRM, Analytics, Motivator, Creator, Flow, Forms, Analytics, and other as neededMigrate data from different systems into Zoho One from other platforms including third-party APIs such as the MLSCreate innovative, state-of-the-art applications and collaborate with the Sales team to gather requirements and develop software solutionsDevelop and prioritize a feature development roadmap including new functionality, such as layouts, custom objects, and fields, reports and dashboardsEnsure HTML, CSS, and shared JavaScript is valid and consistent across applicationsUtilize backend data services and contribute to increasing existing data services APIOptimize and improve the existing CRM system and work processes to scale efficientlyDocument all components of the development process clearlyKeep abreast of new trends and best practices in web developmentProduce efficient, clean, and well-commented codeAnalyze, design, develop, test, and implement applicationsWho you are:Energetic self-starter, with a strong work ethic and sense of urgency who thrives in a fast-paced environmentExtreme owner over your work, solving problems proactivelyEntrepreneurially spirited with a desire to work independently and drive your professional growthExcellent communicator who values honesty and integrityWell organized, detail-oriented with the capacity to multitask successfullyWhat you bring:1 -2 years experience with a CRM product (Zoho CRM strongly preferred)Ability to use one or more development language (PHP, Python, HTML, Java, MySQL, SQL Server, Linux, .NET, strong OOP concepts and/or C#)Strong communication skills and a collaborative work styleSolutions-orientation with an eye for detail and identifying problems and roadblocksExperience with IT troubleshooting principles and techniquesUnderstanding of and ability to implement application APIsBonus:Experience with Zoho One including CRM, Analytics, Motivator, Creator, Flow, Forms, AnalyticsAssociates degree or higher in Computer Science, Information Systems, or Computer EngineeringJob Type: Full-timeSalary: $55,000.00 to $60,000.00 /yearWork Location:One locationBenefits:Paid time offThis Job Is:A job for which military experienced candidates are encouraged to applySchedule::Monday to Friday",3
"A Little About Us
Oath has the most trafficked destinations on internet, including Yahoo, Aol, Huffington Post, TechCrunch, and many other well known brands. The Oath Advertising team is responsible for delivering market-leading advertising and audience products, solutions, and services. Our advertising products deliver billions of ad impressions to hundreds of millions of users everyday, enabling hundreds of thousands of advertisers to effectively connect with the right audience at the right time across devices and across the globe. Our audience analytics products analyze multi-terabytes of data everyday and deliver insight on the preference, intent, interest, and behavior of users to help Yahoo and its customers drive user growth, engagement and value.
A Lot About You
You are an exceptional data engineer with rich experience in big data processing, excellent analytical skills, sound knowledge about statistics and experimental design, and proven ability to communicate analytical findings. You are always curious, self-motivated, and eager to learn learning new domain knowledge and analytics tools. You are an out-of-the-box thinker, a believer in data driven approaches, and a quick learner. You enjoy to work with a strong, cross-functional, and sometimes cross-geography team of engineers and data scientists, and you are passionate in working with our business and product teams to turn data into actionable insights. You always think positive, have the can-do attitude, and focus on “getting stuff done” with quality. People like to work with you because you’re a valuable contributor, and a responsible team player.
Your Day
• Build a centralized data warehouse, automated data pipelines and dashboards to provide concrete metrics for various internal users, including business, product and engineers
• Work closely with engineers, data scientists, business and ad operations to track, monitor, and report on ad platform health, and identify and resolve potential issues related to the ad serving systems
• Analyze large data sets to find structures and obtain actionable insights for improving the overall performance of the end-to-end advertising process
• Design and conduct experiments to evaluate new advertising algorithms and serving logics
Requirements
• Advanced degree in Statistics, Applied Mathematics, Computer Science, or a related field
• Proficient programming skills in at least one of the following languages: Python, R, and Java, and familiar with Hadoop and SQL
• Excel in statistical thinking while deeply grounded in solid business judgment
• Results driven, great attention to detail, and a team player
• Excellent communication and presentation skills
• Skilled in interpersonal communication and relationship. Ability to clearly explain analytical findings to business partners, researchers and engineers
Verizon Media is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Verizon Media is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. If you need accessibility assistance and/or a reasonable accommodation due to a disability, please submit a request via the Accommodation Request Form ( https://www.verizonmedia.com/careers/contact-us.html ) or call 408-336-1409. Requests and calls received for non-disability related issues, such as following up on an application, will not receive a response.
Currently work for Verizon Media? Please apply on our internal career site.",3
