description,y
"Business Unit:
Role Overview
Xfinity Mobile Risk Management is responsible for the fraud detection and investigation, credit decisioning, and collections. In these roles, we are ensuring that our customers are protected from fraudulent activity and provided the best financing offer.
The Co-op will be working directly with the Xfinity Mobile Risk Management, Finance, Technology, Care, and Business Intelligence teams in order to discover and forecast impacts of credit policy change.
Co-op responsibilities include but are not limited to:

A large part of the position will be ad-hoc data analysis, data visualization and reporting, and pulling, joining, and formatting data for reports from our National Data Warehouse (Teradata), Xfinity Mobile Business Intelligence Platform (Cloudera Hadoop), application logs (Splunk), and many other sources.The Co-op will be in the data to aid in all of our exploratory analysis and performance reporting.
Preferred Qualifications
Currently pursuing a Bachelor’s degree from a United States-based college or university that has a cooperative learning trackAvailable to work 40 hours per week for 6 months starting March 30th, 2020Preferred Majors: Mathematics, Physics, Business Analytics, Business & Engineering, Finance, Computer Science, Data Science3.2 minimum cumulative GPA preferred.This person needs to prove that they know how to code fluently in at least one language and be comfortable learning something new – R or python are common here, but there are othersKnowledge of SQL is a must have, in any flavor. We primarily use Teradata and Impala here, but any flavor is good.Knowledge of tableau or another reporting software – this role will be involved in building reports for credit and collections teamsUnderstanding of data visualization principalsUnderstanding of statistical and machine learning modeling techniquesExperience with ExcelAuthorized to work in the United States of AmericaComcast is an Affirmative Action/EEO employer M/F/D/V




Comcast is an EOE/Veterans/Disabled/LGBT employer",0
":
As a Business Analyst at Starboard Cruise Services, you will have the opportunity to develop the future of our analytics capability and work on rich, cross-functional data sets. You should have strong technical, business and communication skills to translate key business questions into statistical models & analyses that answer those questions.

You will drive regular deep, topical analyses on a broad range of strategic and tactical questions ranging from brand and cruise line performance to global retail trends and supply chain. This versatile role leverages an understanding of statistical modelling, combined with technical aptitude and business understanding to build capacity and insights, enabling Starboard Cruise Services to deliver outstanding customer experiences while materially growing revenue for Starboard, the brands we work with, and our cruise line partners. The ideal candidate is a self-starter with a wide range of technical & analytical skills, and highly proficient in turning data discoveries into actionable insight.
What youâll be doing::
PRIMARY RESPONSIBILITIES:
As an early team member, you will play a key role in the development of a data science practice by shaping the technology and vision of our team
Display an infectious intellectual curiosity and fortitude, with a deep commitment to learning and applying to solve critical business problems and push the boundary of our capabilities
Thrive in an environment of flux and uncertainty by applying equal parts scientific objectivity and intellectual ingenuity to solving problems and proving out hypothesis and long-held beliefs
Proactively develop new metrics and studies to quantify the value of different aspects of business processes and consumer behavior
Translate analytic insights into concrete, actionable recommendations for business or product improvement
Revel in the complex, but seek to simplify and clarify in your analysis and communications
Support BI Reporting: In collaboration with leadership, support the development of Business Intelligence (BI) dashboards to highlight key performance indicators (KPI) across business units. Work will include multi-source data integration and development in BI tools
Actively participate in ad hoc analysis as needed, being flexible to changes in priority
Provide business analysis and projections to guide the decision making process for new itineraries/seasonality/demographic changes
Serve as a liaison on cross functional initiatives and special analytical projects
Other duties as Assigned: May perform other ‘ancillary’ duties as assigned.
What weâre looking for::
JOB SKILLS REQUIRED:
Ability to self-educate and learn in a highly complex, ambiguous, and rapidly changing environment
Excellence in applying analytical rigor & technical proficiency to the business environment
Ability to manage time and workload effectively with minimal supervision
REQUIREMENTS:
Bachelor’s degree in computer science, mathematics, statistics, physics, or other quantitative discipline data science, or equivalent experience
Experience with data cleaning, preparation, and feature building and selection techniques
Experience working with large data sets to solve problems
Prior hands-on experience with Python, Java or Scala and the ability to write reusable and efficient code to automate machine learning pipeline and data processes
Possess solid writing, data visualization and communication skills Ability to handle multiple concurrent projects while working independently and in teams
Ability to work in a fast-paced and deadline driven environment
3+ years experience with statistical programming languages (for example, SAS, R) and/or with SQL and relational databases (for example, DB2, Oracle, SQL Server)
KEY COMPETENCIES:
Actively participates and collaborates with others throughout Starboard for the achievement of business goals
Works smart by setting effective goals, establishing priorities, and planning well to produce quality work
Executes effectively by using resources efficiently, meeting deadlines, and keeping others informed
Challenges the status quo, champions change and continuous improvement
Make Sound Judgments
Optimize Execution and Results
Influence and Communicate
Promote Ethics and Compliance
Demonstrate Adaptability
NOTE: Travel less than 10%",0
"Summary:
Sling TV L.L.C. provides an over-the-top (internet delivered) television experience on TVs, tablets, gaming consoles, computers, smartphones, smart TVs and other streaming devices. Distributed across a variety of strategic device partners, including Google, Amazon, Apple TV, Microsoft, Roku, Samsung, LG, Comcast, and many others, Sling TV offers two primary domestic streaming services that collectively include more than 100 channels of top content. Featured programmers include Disney/ESPN, NBC, AMC, A&E, EPIX, NFL Network, NBA TV, NHL Networks, Pac-12 Networks, Hallmark, Viacom, and more. For Spanish-speaking customers, Sling Latino offers a suite of standalone and extra Spanish-programming packages tailored to the U S. Hispanic market. And for those seeking International content, Sling International currently provides more than 300 channels in 20 languages (available across multiple devices) to U.S. households.

Sling TV is the #1 Live TV Streaming Service Sling TV is a next-generation service that meets the entertainment needs of today’s contemporary viewers. Visit www.Sling.com. We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve to join our team as we embark on the next chapter of our story.

Opportunity is here. We are Sling.
Job Duties and Responsibilities:
We are seeking an energetic and passionate individual with both a strong technical background and a proven ability to drive change in an organization. This individual will have to use their in-depth data analysis knowledge to answer the most complex and nuanced questions facing the business. This person will also be responsible for delivering that knowledge to all parts of the organization, from C-Suite to Engineering to individual business units. Sling is a data driven company and we need an individual that is willing to take on new challenges and change how we make decisions.
Direct Responsibilities
Make recommendations to all levels of the business of how to proceed in order to improve engagement, ARPU, churn, contact rates, etc
Perform initial analysis on new data sources and instruct the necessary teams with how to ingest, transform, present, and analyze
Advise the business in how to perform proper A/B tests and perform ad hoc analyses to evaluate the results of the subsequent tests
Perform ad hoc requests with large data sets
Skills - Experience and Requirements:
Required Skills
Demonstrated ability to derive business value out of complex data/models to create significant change within an organization
Deep understanding of data processes and structures, experience with big data preferred (Hadoop, AWS, GCP)
Advanced skills with statistical programming languages (Python/R) and SQL
Ability to communicate complex analyses to a wide range of audiences in a clear, concise form",0
"Our Government and Large Commercial high-profile clients are high-tech organizations with programs in science, technology, engineering and math. For these positions, they are asking for us to provide data analysts that are passionate about transforming and making data usable for new services, business models, and to help economic development. We are looking for people that believe data is the new gold.
We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities. We have projects lining up developing research-grade science data algorithms from in-situ sensors to bringing together data sources from disparate sub-agencies into enterprise platforms to make available on open-data platforms. We have projects that are creating data and bigdata prototypes whether it be on CartoDB geospatial, D3 Sankeys and various libraries, feeding and harvesting RDF Triplets into catalogs, or integrating into SEO environments. Admittedly, we have some less sexy data wrangling and janitor tasks that will require more ETL skills to hone in on.
To boot, we want our analysts to be natural change agents and passionate about change while empathetic to the clients environment on how they leverage, mature, and incorporate data products, services, and new capabilities. We want leaders who can both support the influence of the right change direction while managing the technical and business analysis and design, and are skilled and self-motivated with solid domain/subject matter expertise.
Our analysts will be on teams that, through facilitated analysis, work shoulder-to-shoulder with teammates to come up with the conceptual and logical design and architecture. Analysts will also be working very closely with client staff or system integrators to rapidly implement changes or agile release. Furthermore, we devise and craft strategies and communications solutions to broadcast and brag about their change efforts and results. This is what we do – we bring transformations to life.
Position Requirements:
You will be expected to rapidly ramp-up on client lingo, proactively make observations of patterns, anomalies, problems, and be customer service focused. You will be expected to be highly self-motivated and understand you will be held accountable to commitments. We look for decisive individuals able to rapidly respond to change requests and able to communicate, track, and escalate risk. We expect you to be proactive, efficient, and ready to learn quickly in response to all client and team member needs. This is a bootcamp-type position setup for growth.
We want you to not only gain technical skills, but also grow your interactive and client facing skills. All roles will require strong communication and interactive skills - oral, written, visual especially for triaging conflict, ideation barriers, mitigating risk, foster thought diversity and team environment. We expect all our roles to have a mastery of their technical level at their role whether that be in architectural methods, languages, work products, consulting techniques, and client culture. If they are not, they need to demonstrate how they are VERY fast learners.
For the technical prowess, we will want you to demonstrate your data science nerd-dom and technology stack as part of normal vernacular in one or many of these stacks (well, technologies in these stacks depending on the project). Of course, by no means do we expect all of the technologies, but prowess in one of the stacks:
Data Transformation – ETL, perl, python, SQL, FTP, Informatica, SAFE/FME, Kettle, GeoKettle
- Machine Learning - Markov or Markov Chain, Naive Bayes, N-Grams, Levenshtein distance or Damerau-Levenshtein distance, Fuzzy Search, NLP,
Algorithm Development and Visualization – R, Octave, MatLAB, OpenCV, Viola-Jones Haar-Cascade
Geospatial Transformation – GEOJson, CartoDB, K-Means, Nearest Neighbor, Anselin Local Moran's, Monte Carlo Simulation, Mantel Index, Standard Deviational Ellipse, GeoServer, ESRI, ESRI/Hadoop, PostGIS
Web BI – NodeJS, PHP, Web JavaScript libs like jQuery, ExtJS, D3JS, R Project, HTML5, CSS3, Many more.
NoSQL – MongDB, Hadoop, CouchDB, Solr, ElasticSearch
From a skillset of functions, our data science analysts would need to have a strong focus in one or more of these core areas:
- Open Data User Experience - Someone who has gathered public data and used it in a project (and/or application), is aware that there is an industry wide 'current debate' about open data, and has filed a CORA/FOIA request to gather data.
- Analysis - Someone who can 'read' a dataset and 'tell its story' - top points for ""food desert analysis"", ""restaurant inspections analysis"", ""bike trails routing analysis"" - or any other specific ""human geography"" and/or ""land use"" analysis. Ideally this person can use tools like GIS/RS, Tableau, Carto, D3, JavaScript, Python, Adobe Photoshop, Adobe Illustrator.
- Manual Data Entry - Has an eye for detail and has patience to meticulously check and double check others' data entry, and a desire to work with metadata. Can work in Excel and Google Sheets.
- Data Wrangling - Can manipulate and verify transformations on data, also has general knowledge of coding languages, can read/edit JavaScript, SQL, Python, Ogr2Ogr, GDAL.
- Database Administration - Has a basic familiarity with relational database and geodatabase structures, organizing and maintaining data, metadata.
Finally, our data science analysts will need to meet the following:
1 year of consulting experience – higher compensation for additional 3 more years in related analytical work products and additional 2 more years in subject matter
Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real-time, large data, data cleanup, etc. scenarios
For public sector work, our work is traditionally unclassified, but will require certain amount of background, reference, and other checks
Travel will be maximum 20%
We emphasize a balance of work and life and target 40-50 hour weeks with ample times to refresh with great paid-time off.

We do NOT currently have an opening.:
We review our requirements quarterly and this could change. We like to plan ahead in finding amazing talent.:
About Xentity:
We are a fast-growing data consulting and support services firm - focused on large data programs in data types such as geospatial, open, big, and IoT data. Check out www.xentity.com to learn about our focus, services, clients, missions, values as well as our excellent benefits package and career information.
We have high profile clients and projects that our staff really delivery for, as well enjoy knowing they make a large difference.
Our President has a vision to continue to focus on solutions that transform the Next Generation. Using data integration, knowledge solutions, and amazing increases in computing to impact energy, geosciences, land management, we can bring quality and simplifications to existing and new data flow! Imaging being on a team that brings advanced concepts like high performance computing, AI, data science, fuzzy logic, changing interfaces human-computer points mobile or augmented reality and many more disruptions. This truly can put the I back in IT and GIS.... by concentrating on pragmatic knowledge-first data designs, leadership and management, and the all too forgotten focus on outreach and engagement strategies and solutions.

More can be found at careers.xentity.com",3
"Résumé du poste
At Samsung we work hard – every day. Our interns are pushed to discover their true potential. For those who are comfortable with the uncomfortable, Samsung is a place of endless learning. Interns take real-world business problems and lead the charge on formulating creative solutions. If you have energy, passion, dedication and drive, and you thrive in a fast-paced workplace, the rewards at Samsung are endless!


Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture and contribute their creative and innovative ideas. Interns use what they learn in the classroom and apply their studies at Samsung for real-world experience. This program delivers opportunities for both undergraduate and graduate students to impact change in high-growth areas of our business. Where others see chaos, we see opportunity.


Benefits

Samsung’s internship program has consecutively been ranked as one of the Top 100 Internship Programs by WayUp three years in a row and received 4.7 out 5 stars on Glassdoor. Our North American headquarters offers:

Competitive compensation, subsidized cafeteria, and transportation assistance
Executive Lunch & Learns
Project-based work
End of program presentations to our CEOs and senior leadership
Social activities
Corporate responsibility activities

Apply today and find out why Achievers ranked Samsung as one of the Top 50 Most Engaged Employers year after year. Push yourself to discover your true potential and join Samsung as a 2020 summer intern.
Rôle et Responsabilités
Responsibilities:
If you are looking for a solid opportunity to put your Computer Science skills to test you are in the right place. We need some hard-core programming help to help enhance our Data management frameworks used to move data between platforms and systems seamlessly. This will also give you an opportunity to showcase your UX Skills to develop an UI for our analysts, engineers and scientists to use these frameworks. Responsibilities Include:
Understand the current framework tools in place and identify the bottlenecks and possible enhancements.
Code and Build Solutions leveraging python and open source tools to develop the needed frameworks. Code the UI and deploy it on an intranet portal
Prepare test cases and test the solutions implemented.
Skills and Qualifications
Qualifications:
Pursuing a BS/MS in Computer Science
Strong analytical Skills
Solid Communications and team skills
Development Experience is a plus.
* Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .",3
"Overview:
Luminar is an autonomous vehicle sensor and software company with the vision to power every autonomous vehicle by delivering the only LiDAR capable of making them both safe and ubiquitous. Founded in 2012, Luminar is a 350-person team across Palo Alto, Orlando and Colorado Springs, and has raised more than $250M from prominent venture funds. Today, 12 of the world’s top 15 automotive companies are working with Luminar’s breakthrough technology as part of their global autonomous development programs, including Volvo Cars, Toyota Research Institute, and VW/Audi’s subsidiary, AID.

We are a diverse team of passionate and driven individuals, making us a powerhouse of innovation, design, engineering, and manufacturing. We are hiring the best and the brightest to accelerate the industry, and bring forward the next transportation revolution.


Responsibilities:
Seeking an experienced statistician responsible for performing statistical analysis on LiDAR systems for use in the autonomous automotive market. This individual will apply their strong analytical, engineering and statistics skills to assess overall system performance, characterize algorithm performance, and perform troubleshooting at both the system level and algorithm level. The ideal candidate has prior experience processing image or point cloud data and knowledge of statistical learning methods.

Responsibilities:
Create and execute experimental designs to understand LiDAR system and subsystem performance
Continually improve the ability to report on LiDAR system and subsystem performance through the development and automation of data reporting and analysis routines
Apply analytical skills to not only root cause issues that involve LiDAR system performance but resolve future issues by providing and collaboratively implementing any recommendations
Analyze and process 3D point cloud data, which includes not only basic tasks such as extracting regions of interest, extracting targets in the scene based upon features, and performing plane fitting but more advanced tasks such as applying nearest neighbor algorithms, applying thresholding techniques, computing normals, applying iterative closest point algorithms, and performing basic segmentation
Write reports and presentations on LiDAR system performance for either internal or external dissemination
Interact with customers to review externally compiled LiDAR field performance test reports
Collaborate with a cross-functional calibration team to improve overall LiDAR calibration and resulting system performance
Collaborate with a LiDAR signal processing and algorithm team to characterize whether new algorithms and existing algorithms meet system performance requirements, which often requires either statistical simulations or data collection on staged or dynamic scenes
Collaborate with a systems engineering team to develop system requirements and test methodologies
Align data collection efforts with company data infrastructure services
Qualifications:
Requirements:
Possesses either a:
Bachelor’s degree in Statistics, Math, or Engineering with 8+ years of relevant experience applying statistical analysis skills
Master’s degree in Statistics, Math, or Engineering with 5+ years of relevant experience applying statistical analysis skills
Very proficient in statistics with the ability to apply a strong knowledge of inferential statistics, design of experiments (DOE), and stochastic processes to real world problems
Very proficient working with scientific computing platforms, such as MATLAB and Python, and their associated statistical packages to analyze data
Ability to write high-quality presentations and white papers

Bonus Points:
Project experience showing competency in applying statistical learning methods to real-world problems
Project experience showing competency in applying either image processing or point cloud processing techniques to real-world problems
Familiarity with industry standard image processing and point cloud processing libraries, frameworks, or toolboxes
Thorough knowledge of full lifecycle processes in safety-critical industries such as automotive, medical, or military with a particular interest in first-hand ISO 26262, ISO 21448 (SOTIF), and Automotive SPICE experience
Previous exposure to validation or verification procedures especially performance qualification
Credential & Educational Requirements:
Bachelor’s Degree in Statistics, Math, or Engineering
About Luminar:
Luminar is an equal opportunity employer and we are committed to diversity and inclusion. All applicants will be considered for employment without regard to race, color, ancestry, national origin, sex, sexual orientation, gender identity or expression, marital or parental status, religion, age, disability, genetic information, service in the military, or any other characteristic protected by applicable federal, state or local laws. We will make a reasonable accommodation for any qualified applicant with a disability, provided that the individual is otherwise qualified to safely perform the essential functions of the job with or without accommodation and that the accommodation would not impose an undue hardship on the operation of our business. Please let us know if you believe you require reasonable accommodation, or if you would like assistance to complete an application or to participate in an interview at the company.

Luminar offers competitive compensation and a generous benefits package.",1
"Do you get excited by the challenge of scaling a fast-growing company by powering it with data? Are you intrigued by the ever-evolving landscape of workplace collaboration products? Using your business savvy and creative problem solving, you will build tools and generate insights that allow our business, product, and partnerships leaders to make better-informed decisions. We’re growing quickly, so there’ll be tons of room for you to have influence and shape the direction of your analytic work.

Product Analytics is multidisciplinary. The perfect teammate is someone who has the skills to surface insights quickly, and communicate those insights in a way that persuades action by partner managers, product managers, designers, marketers, engineers, and partners alike. You'll use SQL, R, and/or Python often, but you won't be at your desk all day. Part of your job is to improve the data literacy of your product team, teaching people when, where, and how to harness the data available.

You’ll be working with our Partnerships (in San Francisco) and Product Integrations (in Austin) teams. These cross-functional teams work to develop rich partnerships and integrations between Atlassian products and popular services such as AWS, Slack, Zoom, Okta, Google, Microsoft, and others (examples appear in Atlassian’s recent investor letter). These partnerships help drive user engagement and growth, so you’ll play a pivotal role in the company's future success.
On the first day, we'll expect you to have
3-5 years of experience in Analytics or Data Science roles
Expertise in SQL and proficiency in another data programming language (Python, R, etc.)
Understanding of business strategy, particularly with respect to partnerships, and ability to think broadly and creatively on strategic business problems
Familiarity with event-based analytics, and a curiosity to learn more
Proficiency in one or more analytics and visualization tools (e.g., Tableau, Mode)
Expertise in foundational statistics (data distributions, inferential statistics, probability etc.)
Experience in designing and analyzing experiments that drive key decisions
Knowledge of data instrumentation and logging
It's great, but not required, if you have
Experience working in a global environment with remote teams
Knowledge of and experience with widely-used workplace collaboration tools and integrations between those tools
An advanced degree in a quantitative discipline, such as statistics, mathematics, economics, or computer science
More about our team

The Product Analytics team at Atlassian is tasked to drive insights from user behavioral data. We make a positive impact to the way our customers use our products in their day-to-day work, which in turn unlocks business value. We have a high bar of rigorous analyses, and we love to have fun along the way.

More about our benefits

Whether you work in an office or a distributed team, Atlassian is highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic perks: ample time off to relax and recharge, flexible working options, five paid volunteer days a year for your favourite cause, an annual allowance to support your learning & growth, unique ShipIt days, a company paid trip after five years and lots more.

More about Atlassian

Creating software that empowers everyone from small startups to the who’s who of tech is why we’re here. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned—collaboration is the heart of every product we dream of at Atlassian. From Amsterdam and Austin, to Sydney and San Francisco, we’re looking for people who want to write the future and who believe that we can accomplish so much more together than apart. At Atlassian, we’re committed to an environment where everyone has the autonomy and freedom to thrive, as well as the support of like-minded colleagues who are motivated by a common goal to: Unleash the potential of every team.

Additional Information

We believe that the unique contributions of all Atlassians is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.

All your information will be kept confidential according to EEO guidelines.",1
"The Data Science Analyst is responsible for using strong analytical and technical skills to build data systems and present data in report form to various levels of management. The position requires maintenance of the central database to ensure it is up to date. Continuous improvement is a must on all central systems.
Essential Duties and Responsibilities
Applying statistical analysis to business operations data to provide business insight and enterprise performance analysis.
Building of database tools using SQL and Python.
Able to apply and implement machine learning Algorithms and concepts
On-going document current processes and procedures.
Maintain close working relationship with other departments in and out of inventory for the purposes of collaboration on new projects or process improvement through support and leadership.
Ability to manage multiple projects simultaneously.
Train temporary and permanent resources added to the team in current programs and business organization.
Train other departments on new tools and procedures.
Hold a weekly meeting to summarize system improvements, security concerns, glitches and performance with leaders from other departments.
Additional duties as assigned by manager",1
"About Mason

Mason is a high-growth venture backed startup based in Seattle, Washington.

Mason is transforming mobile deployments the same way AWS transformed web app development, making it easy for companies to deploy their software on single-use Android devices anywhere in the world.

Our customers range from public companies deploying patient engagement software on 22” devices in hospitals, to startups making it easier for restaurants to take orders on 8” tablets.

Mason provides the physical devices along with software to simplify the configuration, deployment, and management of those devices. This gives our customers full control over their mobile stack and lets them focus on what they do best - building their app.

About the Role
We are looking for our first hybrid data science and engineering hire to help define and create the foundational data warehouse that will seed our data science and data engineering function. This hire will drive strategic product and business decisions across the company. In addition, we are seeking someone who is excited about helping build a data-centric culture and sharing knowledge with others at Mason.

Primary Responsibilities
> Build the data foundation of Mason

Build data warehouse for cross-functional teams to solve problems and identify trends and opportunities
Create dashboards and ongoing reports for teams to understand state of the business, ongoing customer activity, and product usage

> Drive product growth and development

Work with product, engineering, and operations to forecast and set quarterly goals and KPIs
Collaborate with marketing and product to develop experiments and tests for beta products and rollout plans
Monitor key product metrics, and determine root causes of changes in metrics; drive discussions and decisions to resolve issues
Identify areas of potential product development or roadmap gaps through customer behavior and ongoing trends

> Analysis & leadership

Regularly communicate progress of the business and product to the team, and highlight areas of opportunity
Help establish a data-centric culture at Mason through data-focused decision making
Mentor others in using data tools, leveraging dashboards, and data science best practices

Desired Skills

BA/BS in Computer Science, Math, Statistics, Engineering, Physics, or other technical field
Experience and knowledge in SQL or other programming languages
Development experience in scripting languages
In-depth understanding of statistics and manipulating data sets
Strong written and presentation communication skills
Self-starter, proactive, and comfortable working in a startup environment

",1
"Job SummaryJob Title : Data ScientistLocation : Phoenix, AZ *Duration : Full time*Total experience of min 10-12 years with experience of minimum 4-5 years in analytics/machine learning solutions deployment is requiredShould have good hands on experience on analytics tools R or PythonShould have exposure to newly available Analytical libraries/toolkit – SPARK MLLIB, WATSON, TENSORFLOW, AZURE MLLIB etc.Should have working experience in any analytical tools like Altryx, Knime, H2O.ai, Dataiku etc.Should have good knowledge of SQL and should be able to handle data preparation phase without help of Data Engineer.Should be expert on various statistical model building techniques such as Logistics regression, Neural Network, Decision trees, SVM, GLM etcShould have good understand of applicability of analytics in Banking & Financial Services.Should be able to guide & manage the team of analytics on various aspects of model building process, choosing the right techniques, model comparisonShould be aware of industry trends in analyticsShould have done the customer facing role gathering the requirements & planning the analytics projects, explaining the results of statistical models to senior managementShould have excellent communication & presentation skillsExperience in implementing Analytical solution in Big Data environment is mandatory.Exposure to Artificial Intelligence solutions using Deep Learning, Neural NetworksExperience of productionizing Analytical Applications (knowledge of Model Container) will be big plus.Job Type: Full-time",1
